datum_neu,Antigen-Schnelltest,PCR (herkömmlich)
01.02.2021,244.0,485.0
01.03.2021,302.0,422.0
01.11.2021,220.0,808.0
02.08.2021,192.0,194.0
02.11.2020,31.0,888.0
03.01.2022,230.0,1509.0
03.05.2021,200.0,529.0
04.01.2021,367.0,603.0
04.10.2021,583.0,594.0
05.04.2021,341.0,668.0
05.07.2021,464.0,371.0
06.09.2021,347.0,1008.0
06.12.2021,276.0,1836.0
07.06.2021,263.0,366.0
07.12.2020,478.0,607.0
08.02.2021,337.0,571.0
08.03.2021,318.0,539.0
08.11.2021,284.0,1121.0
09.08.2021,260.0,270.0
09.11.2020,201.0,629.0
10.01.2022,416.0,1713.0
10.05.2021,234.0,557.0
11.01.2021,248.0,467.0
11.10.2021,319.0,503.0
12.04.2021,269.0,490.0
12.07.2021,500.0,308.0
13.09.2021,663.0,792.0
13.12.2021,264.0,2005.0
14.06.2021,259.0,314.0
14.12.2020,444.0,766.0
15.02.2021,289.0,517.0
15.03.2021,395.0,567.0
15.11.2021,271.0,1477.0
16.08.2021,272.0,445.0
16.11.2020,218.0,601.0
17.01.2022,400.0,2141.0
17.05.2021,303.0,541.0
18.01.2021,310.0,513.0
18.10.2021,316.0,531.0
19.04.2021,220.0,378.0
19.07.2021,464.0,330.0
20.09.2021,702.0,608.0
20.12.2021,270.0,1224.0
21.06.2021,203.0,275.0
21.12.2020,407.0,510.0
22.02.2021,267.0,471.0
22.03.2021,325.0,614.0
22.11.2021,485.0,1773.0
23.08.2021,268.0,697.0
23.11.2020,306.0,672.0
24.05.2021,206.0,486.0
25.01.2021,312.0,633.0
25.10.2021,243.0,704.0
26.04.2021,214.0,421.0
26.07.2021,312.0,224.0
27.09.2021,672.0,675.0
27.12.2021,260.0,1085.0
28.06.2021,163.0,239.0
28.12.2020,304.0,375.0
29.03.2021,418.0,632.0
29.11.2021,264.0,1921.0
30.08.2021,327.0,1048.0
30.11.2020,354.0,719.0
31.05.2021,266.0,485.0
