datum_neu,Antigen-Schnelltest,PCR (herkömmlich)
01.02.2021,2423.0,4566.0
01.03.2021,1110.0,3583.0
01.08.2022,930.0,1025.0
01.11.2021,2513.0,5094.0
02.05.2022,1194.0,1131.0
02.08.2021,2386.0,2464.0
02.11.2020,54.0,6946.0
03.01.2022,4879.0,15982.0
03.05.2021,1522.0,3894.0
03.10.2022,1342.0,1621.0
04.01.2021,2275.0,4976.0
04.04.2022,1326.0,2741.0
04.07.2022,2225.0,2454.0
04.10.2021,10524.0,3732.0
05.04.2021,1364.0,4511.0
05.07.2021,2735.0,2759.0
05.09.2022,792.0,1020.0
05.12.2022,484.0,1014.0
06.06.2022,1703.0,831.0
06.09.2021,6379.0,5908.0
06.12.2021,3261.0,11615.0
07.02.2022,6943.0,16989.0
07.03.2022,5489.0,18111.0
07.06.2021,1821.0,2910.0
07.11.2022,863.0,1252.0
07.12.2020,2154.0,5436.0
08.02.2021,1255.0,3892.0
08.03.2021,1476.0,4180.0
08.08.2022,959.0,1008.0
08.11.2021,2688.0,6813.0
09.05.2022,1354.0,1021.0
09.08.2021,2439.0,2658.0
09.11.2020,166.0,6147.0
10.01.2022,5106.0,19390.0
10.05.2021,1776.0,4449.0
10.10.2022,1392.0,1630.0
11.01.2021,2139.0,4309.0
11.04.2022,2221.0,2352.0
11.07.2022,1932.0,2290.0
11.10.2021,3665.0,3544.0
12.04.2021,1243.0,3939.0
12.07.2021,2429.0,2594.0
12.09.2022,735.0,1081.0
13.06.2022,1061.0,1126.0
13.09.2021,10570.0,4984.0
13.12.2021,3709.0,12080.0
14.02.2022,4402.0,12954.0
14.03.2022,4107.0,12751.0
14.06.2021,1970.0,2210.0
14.11.2022,871.0,1209.0
14.12.2020,3102.0,6531.0
15.02.2021,1052.0,3063.0
15.03.2021,2137.0,4453.0
15.08.2022,861.0,948.0
15.11.2021,3061.0,8690.0
16.05.2022,1379.0,893.0
16.08.2021,1874.0,3165.0
16.11.2020,393.0,5539.0
17.01.2022,4865.0,22725.0
17.05.2021,1826.0,4921.0
17.10.2022,1181.0,1590.0
18.01.2021,2314.0,4050.0
18.04.2022,1584.0,1692.0
18.07.2022,1730.0,1734.0
18.10.2021,2834.0,3991.0
19.04.2021,1201.0,3667.0
19.07.2021,2164.0,2597.0
19.09.2022,784.0,1083.0
20.06.2022,1254.0,1347.0
20.09.2021,11831.0,4820.0
20.12.2021,4842.0,10361.0
21.02.2022,2878.0,8044.0
21.03.2022,2551.0,8288.0
21.06.2021,1780.0,2106.0
21.11.2022,793.0,1228.0
21.12.2020,2619.0,5448.0
22.02.2021,1067.0,2997.0
22.03.2021,2562.0,5593.0
22.08.2022,724.0,1010.0
22.11.2021,3267.0,10395.0
23.05.2022,1412.0,669.0
23.08.2021,2553.0,3594.0
23.11.2020,686.0,5232.0
24.01.2022,8805.0,23749.0
24.05.2021,1512.0,3702.0
24.10.2022,1078.0,1349.0
25.01.2021,2359.0,3670.0
25.04.2022,1172.0,1408.0
25.07.2022,1284.0,1368.0
25.10.2021,2808.0,4049.0
26.04.2021,1516.0,3782.0
26.07.2021,2230.0,2268.0
26.09.2022,1073.0,1426.0
27.06.2022,1648.0,1818.0
27.09.2021,11376.0,4863.0
27.12.2021,4826.0,11670.0
28.02.2022,4923.0,15275.0
28.03.2022,1746.0,4638.0
28.06.2021,1698.0,1912.0
28.11.2022,690.0,1082.0
28.12.2020,1810.0,4352.0
29.03.2021,2563.0,6678.0
29.08.2022,778.0,957.0
29.11.2021,3161.0,11946.0
30.05.2022,1446.0,818.0
30.08.2021,5031.0,4943.0
30.11.2020,1266.0,5133.0
31.01.2022,7899.0,18611.0
31.05.2021,2265.0,3904.0
31.10.2022,827.0,1164.0
