datum_neu,Antigen-Schnelltest,PCR (herkömmlich)
01.02.2021,458.0,404.0
01.03.2021,110.0,515.0
01.08.2022,32.0,139.0
01.11.2021,148.0,3590.0
02.05.2022,47.0,163.0
02.08.2021,233.0,397.0
02.11.2020,10.0,644.0
03.01.2022,250.0,1812.0
03.05.2021,105.0,584.0
04.01.2021,155.0,509.0
04.04.2022,87.0,318.0
04.07.2022,77.0,355.0
04.10.2021,423.0,991.0
05.04.2021,137.0,466.0
05.07.2021,354.0,579.0
06.06.2022,46.0,117.0
06.09.2021,441.0,2402.0
06.12.2021,153.0,1465.0
07.02.2022,355.0,1948.0
07.03.2022,340.0,1666.0
07.06.2021,113.0,720.0
07.12.2020,119.0,476.0
08.02.2021,222.0,454.0
08.03.2021,155.0,570.0
08.08.2022,37.0,154.0
08.11.2021,141.0,3926.0
09.05.2022,50.0,119.0
09.08.2021,149.0,471.0
09.11.2020,35.0,476.0
10.01.2022,208.0,2095.0
10.05.2021,97.0,637.0
11.01.2021,219.0,430.0
11.04.2022,115.0,284.0
11.07.2022,77.0,280.0
11.10.2021,163.0,1646.0
12.04.2021,134.0,488.0
12.07.2021,261.0,367.0
13.06.2022,36.0,130.0
13.09.2021,878.0,2496.0
13.12.2021,196.0,1586.0
14.02.2022,241.0,1442.0
14.03.2022,282.0,1246.0
14.06.2021,114.0,598.0
14.12.2020,243.0,670.0
15.02.2021,185.0,370.0
15.03.2021,174.0,530.0
15.08.2022,29.0,149.0
15.11.2021,159.0,4586.0
16.05.2022,30.0,103.0
16.08.2021,181.0,522.0
16.11.2020,49.0,408.0
17.01.2022,205.0,2298.0
17.05.2021,121.0,799.0
18.01.2021,392.0,405.0
18.04.2022,41.0,193.0
18.07.2022,57.0,239.0
18.10.2021,118.0,2672.0
19.04.2021,67.0,472.0
19.07.2021,253.0,366.0
20.06.2022,48.0,178.0
20.09.2021,818.0,2811.0
20.12.2021,206.0,1395.0
21.02.2022,194.0,858.0
21.03.2022,148.0,918.0
21.06.2021,103.0,689.0
21.12.2020,167.0,459.0
22.02.2021,102.0,432.0
22.03.2021,196.0,673.0
22.08.2022,27.0,130.0
22.11.2021,142.0,4523.0
23.05.2022,54.0,96.0
23.08.2021,206.0,1463.0
23.11.2020,63.0,435.0
24.01.2022,534.0,3554.0
24.05.2021,140.0,735.0
25.01.2021,539.0,364.0
25.04.2022,45.0,172.0
25.07.2022,52.0,197.0
25.10.2021,165.0,2898.0
26.04.2021,73.0,501.0
26.07.2021,198.0,400.0
27.06.2022,60.0,256.0
27.09.2021,447.0,2623.0
27.12.2021,185.0,1339.0
28.02.2022,334.0,1498.0
28.03.2022,114.0,540.0
28.06.2021,150.0,453.0
28.12.2020,143.0,415.0
29.03.2021,225.0,644.0
29.08.2022,34.0,103.0
29.11.2021,130.0,1370.0
30.05.2022,35.0,101.0
30.08.2021,602.0,2012.0
30.11.2020,146.0,444.0
31.01.2022,479.0,2755.0
31.05.2021,154.0,861.0
