datum_neu,Antigen-Schnelltest,PCR (herkömmlich)
01.02.2021,2430.0,5418.0
01.03.2021,2192.0,5408.0
01.11.2021,1993.0,7501.0
02.08.2021,2075.0,2776.0
02.11.2020,537.0,9540.0
03.01.2022,2913.0,18202.0
03.05.2021,2087.0,5155.0
04.01.2021,2705.0,6080.0
04.10.2021,3965.0,5653.0
05.04.2021,3785.0,6582.0
05.07.2021,4525.0,4081.0
06.09.2021,3228.0,8388.0
06.12.2021,2610.0,16530.0
07.06.2021,2442.0,4050.0
07.12.2020,3519.0,7691.0
08.02.2021,2423.0,5693.0
08.03.2021,2565.0,6124.0
08.11.2021,2359.0,10648.0
09.08.2021,2279.0,4023.0
09.11.2020,1356.0,7129.0
10.01.2022,3032.0,19811.0
10.05.2021,2136.0,5148.0
11.01.2021,2154.0,4849.0
11.10.2021,2170.0,5136.0
12.04.2021,2511.0,5627.0
12.07.2021,3623.0,4119.0
13.09.2021,4612.0,7689.0
13.12.2021,3002.0,15765.0
14.06.2021,2191.0,3432.0
14.12.2020,3948.0,8393.0
15.02.2021,2265.0,5040.0
15.03.2021,3328.0,6609.0
15.11.2021,2653.0,13365.0
16.08.2021,2343.0,4691.0
16.11.2020,1729.0,6708.0
17.01.2022,3428.0,24373.0
17.05.2021,2753.0,6161.0
18.01.2021,2457.0,5005.0
18.10.2021,1862.0,5791.0
19.04.2021,2232.0,4674.0
19.07.2021,3510.0,3636.0
20.09.2021,4153.0,6387.0
20.12.2021,2298.0,12544.0
21.06.2021,1823.0,2830.0
21.12.2020,3304.0,6078.0
22.02.2021,2070.0,4844.0
22.03.2021,3558.0,7204.0
22.11.2021,2781.0,15955.0
23.08.2021,2854.0,5858.0
23.11.2020,2310.0,6694.0
24.05.2021,2133.0,5278.0
25.01.2021,2551.0,6090.0
25.10.2021,2087.0,6828.0
26.04.2021,2080.0,5145.0
26.07.2021,2908.0,2700.0
27.09.2021,4283.0,7071.0
27.12.2021,2419.0,11664.0
28.06.2021,1514.0,2477.0
28.12.2020,2516.0,4760.0
29.03.2021,3540.0,6581.0
29.11.2021,2718.0,17010.0
30.08.2021,3277.0,7892.0
30.11.2020,2838.0,6881.0
31.05.2021,2409.0,5028.0
