datum_neu,Antigen-Schnelltest,PCR (herkömmlich)
01.02.2021,1387.0,3688.0
01.03.2021,1605.0,3539.0
01.11.2021,6460.0,4435.0
02.08.2021,4139.0,1716.0
02.11.2020,12.0,5270.0
03.01.2022,9292.0,11973.0
03.05.2021,1842.0,3671.0
04.01.2021,983.0,3639.0
04.10.2021,11068.0,2759.0
05.04.2021,2084.0,4477.0
05.07.2021,6110.0,2068.0
06.09.2021,7163.0,5524.0
06.12.2021,8649.0,10478.0
07.06.2021,1739.0,1903.0
07.12.2020,944.0,5152.0
08.02.2021,1067.0,3207.0
08.03.2021,1550.0,3928.0
08.11.2021,6417.0,6026.0
09.08.2021,3826.0,2319.0
09.11.2020,173.0,4481.0
10.05.2021,1792.0,4096.0
11.01.2021,896.0,3107.0
11.10.2021,5718.0,2322.0
12.04.2021,1765.0,3405.0
12.07.2021,5617.0,1930.0
13.09.2021,10638.0,4943.0
13.12.2021,9707.0,10548.0
14.06.2021,2048.0,1796.0
14.12.2020,1404.0,5667.0
15.02.2021,992.0,3173.0
15.03.2021,2562.0,3890.0
15.11.2021,7389.0,7300.0
16.08.2021,5194.0,3200.0
16.11.2020,302.0,4026.0
17.05.2021,2056.0,3989.0
18.01.2021,1312.0,3252.0
18.10.2021,5617.0,2396.0
19.04.2021,1539.0,2991.0
19.07.2021,5219.0,1736.0
20.09.2021,10404.0,3973.0
20.12.2021,11724.0,9268.0
21.06.2021,2190.0,1761.0
21.12.2020,1505.0,3780.0
22.02.2021,1231.0,3329.0
22.03.2021,2943.0,4469.0
22.11.2021,7756.0,8764.0
23.08.2021,7090.0,5521.0
23.11.2020,487.0,4262.0
24.05.2021,1461.0,2799.0
25.01.2021,1151.0,3210.0
25.10.2021,7035.0,3075.0
26.04.2021,1543.0,3214.0
26.07.2021,4033.0,1667.0
27.09.2021,11722.0,3430.0
27.12.2021,10419.0,8829.0
28.06.2021,2715.0,1660.0
28.12.2020,1033.0,3152.0
29.03.2021,3328.0,5064.0
29.11.2021,8011.0,9165.0
30.08.2021,7508.0,5920.0
30.11.2020,545.0,4740.0
31.05.2021,1775.0,2324.0
