datum_neu,Antigen-Schnelltest,PCR (herkömmlich)
01.02.2021,1819.0,2273.0
01.03.2021,1898.0,2507.0
02.08.2021,1045.0,1714.0
02.11.2020,187.0,4824.0
03.05.2021,1369.0,3239.0
04.01.2021,1674.0,3468.0
05.04.2021,1805.0,3425.0
05.07.2021,2063.0,2185.0
06.09.2021,1658.0,5621.0
07.06.2021,889.0,2128.0
07.12.2020,1783.0,4356.0
08.02.2021,1744.0,2599.0
08.03.2021,1872.0,3115.0
09.08.2021,968.0,2489.0
09.11.2020,635.0,3697.0
10.05.2021,1621.0,4365.0
11.01.2021,1589.0,2576.0
12.04.2021,1598.0,3010.0
12.07.2021,1714.0,1945.0
14.06.2021,847.0,1825.0
14.12.2020,2050.0,4912.0
15.02.2021,1910.0,2586.0
15.03.2021,2141.0,2963.0
16.08.2021,1231.0,3398.0
16.11.2020,929.0,3311.0
17.05.2021,1603.0,3259.0
18.01.2021,1634.0,2752.0
19.04.2021,1418.0,2990.0
19.07.2021,1386.0,1854.0
21.06.2021,765.0,1511.0
21.12.2020,2039.0,3626.0
22.02.2021,1902.0,2343.0
22.03.2021,2448.0,3646.0
23.08.2021,1643.0,3968.0
23.11.2020,1223.0,3483.0
24.05.2021,955.0,2795.0
25.01.2021,1689.0,2867.0
26.04.2021,1560.0,3200.0
26.07.2021,1260.0,1573.0
28.06.2021,721.0,1562.0
28.12.2020,1704.0,2467.0
29.03.2021,2242.0,4073.0
30.08.2021,1993.0,5089.0
30.11.2020,1535.0,3830.0
31.05.2021,910.0,2630.0
