datum_neu,Antigen-Schnelltest,PCR (herkömmlich)
01.02.2021,154.0,346.0
01.03.2021,129.0,363.0
01.11.2021,300.0,3610.0
02.08.2021,507.0,488.0
02.11.2020,2.0,405.0
03.01.2022,505.0,4455.0
03.05.2021,193.0,1960.0
04.01.2021,66.0,348.0
04.10.2021,1064.0,1386.0
05.04.2021,322.0,1269.0
05.07.2021,396.0,638.0
06.09.2021,634.0,1591.0
06.12.2021,199.0,5379.0
07.02.2022,338.0,4117.0
07.06.2021,311.0,2426.0
07.12.2020,33.0,239.0
08.02.2021,138.0,414.0
08.03.2021,86.0,572.0
08.11.2021,225.0,3896.0
09.08.2021,463.0,558.0
09.11.2020,12.0,445.0
10.01.2022,451.0,5592.0
10.05.2021,188.0,1604.0
11.01.2021,91.0,472.0
11.10.2021,101.0,1887.0
12.04.2021,341.0,1986.0
12.07.2021,327.0,609.0
13.09.2021,1267.0,2796.0
13.12.2021,285.0,5500.0
14.02.2022,202.0,3314.0
14.06.2021,392.0,2229.0
14.12.2020,43.0,371.0
15.02.2021,125.0,326.0
15.03.2021,148.0,643.0
15.11.2021,229.0,4126.0
16.08.2021,558.0,943.0
16.11.2020,11.0,546.0
17.01.2022,486.0,5984.0
17.05.2021,175.0,3018.0
18.01.2021,87.0,395.0
18.10.2021,153.0,3030.0
19.04.2021,389.0,3290.0
19.07.2021,584.0,546.0
20.09.2021,1280.0,3192.0
20.12.2021,495.0,5248.0
21.06.2021,272.0,1551.0
21.12.2020,27.0,430.0
22.02.2021,121.0,321.0
22.03.2021,235.0,907.0
22.11.2021,189.0,4427.0
23.08.2021,630.0,1280.0
23.11.2020,7.0,413.0
24.01.2022,586.0,5792.0
24.05.2021,291.0,2747.0
25.01.2021,119.0,345.0
25.10.2021,286.0,3497.0
26.04.2021,386.0,3699.0
26.07.2021,656.0,471.0
27.09.2021,1226.0,3021.0
27.12.2021,469.0,3116.0
28.06.2021,343.0,998.0
28.12.2020,30.0,395.0
29.03.2021,319.0,1026.0
29.11.2021,192.0,5050.0
30.08.2021,644.0,1523.0
30.11.2020,25.0,581.0
31.01.2022,425.0,4975.0
31.05.2021,406.0,2340.0
