,date,voll. geimpft,nicht voll. geimpft
0,2021-01-31,0.0,0.7
1,2021-02-07,0.0,1.4
2,2021-02-14,2.9,1.3
3,2021-02-21,3.4,1.4
4,2021-02-28,2.3,1.2
5,2021-03-07,1.8,1.8
6,2021-03-14,1.2,1.7
7,2021-03-21,2.1,2.1
8,2021-03-28,1.1,2.8
9,2021-04-04,2.3,3.0
10,2021-04-11,2.1,2.9
11,2021-04-18,2.2,3.5
12,2021-04-25,1.6,3.4
13,2021-05-02,1.6,3.3
14,2021-05-09,1.3,2.5
15,2021-05-16,0.4,1.8
16,2021-05-23,0.6,2.2
17,2021-05-30,0.7,1.2
18,2021-06-06,0.4,1.1
19,2021-06-13,0.6,0.6
20,2021-06-20,0.2,0.4
21,2021-06-27,0.1,0.2
22,2021-07-04,0.1,0.1
23,2021-07-11,0.0,0.4
24,2021-07-18,0.2,1.0
25,2021-07-25,0.4,1.3
26,2021-08-01,0.3,2.0
27,2021-08-08,0.4,3.2
28,2021-08-15,0.8,7.4
29,2021-08-22,1.2,9.5
30,2021-08-29,1.0,8.8
31,2021-09-05,1.0,7.7
32,2021-09-12,1.0,6.4
33,2021-09-19,1.0,5.8
34,2021-09-26,0.8,4.4
35,2021-10-03,0.5,2.9
36,2021-10-10,0.6,2.8
37,2021-10-17,0.6,2.1
