date,nicht/teilw. geimpft,vollständig geimpft
2021-01-31,1.5,554.6
2021-02-07,1.3,258.9
2021-02-14,1.1,90.0
2021-02-21,0.9,48.1
2021-02-28,0.8,31.1
2021-03-07,1.2,36.9
2021-03-14,1.5,37.3
2021-03-21,1.9,37.6
2021-03-28,2.1,34.9
2021-04-04,2.5,37.8
2021-04-11,2.6,33.3
2021-04-18,2.6,29.4
2021-04-25,2.7,26.8
2021-05-02,2.6,22.4
2021-05-09,1.9,14.0
2021-05-16,1.6,10.2
2021-05-23,1.7,8.3
2021-05-30,0.9,3.2
2021-06-06,0.9,2.4
2021-06-13,0.6,1.2
2021-06-20,0.4,0.6
2021-06-27,0.2,0.3
2021-07-04,0.2,0.2
2021-07-11,0.3,0.2
2021-07-18,0.6,0.4
2021-07-25,0.9,0.4
2021-08-01,1.3,0.6
2021-08-08,2.1,0.9
2021-08-15,4.7,2.1
2021-08-22,6.7,2.8
2021-08-29,5.6,2.3
2021-09-05,4.7,1.8
2021-09-12,4.1,1.6
2021-09-19,3.6,1.3
2021-09-26,2.4,0.8
2021-10-03,1.8,0.6
2021-10-10,1.4,0.4
