date,geboostert,vollst. geimpft,nicht vollst. geimpft
2021-07-04,,0.2,0.0
2021-07-11,,0.0,1.8
2021-07-18,,0.4,3.8
2021-07-25,,0.8,4.9
2021-08-01,,0.7,9.0
2021-08-08,,0.9,10.2
2021-08-15,,1.6,22.3
2021-08-22,,2.4,27.9
2021-08-29,,2.4,33.0
2021-09-05,,2.5,31.0
2021-09-12,,2.6,22.9
2021-09-19,,2.5,24.4
2021-09-26,,2.0,25.8
2021-10-03,,1.9,16.7
2021-10-10,,2.5,17.8
2021-10-17,,2.5,17.1
2021-10-24,,3.4,16.9
2021-10-31,,3.8,27.2
2021-11-07,,5.2,31.8
2021-11-14,,6.9,42.7
2021-11-21,,10.4,72.4
2021-11-28,,12.8,88.2
2021-12-05,7.9,16.8,103.1
2021-12-12,7.0,20.1,103.7
2021-12-19,5.7,15.4,117.3
2021-12-26,7.3,19.2,105.3
2022-01-02,7.9,18.2,101.8
2022-01-09,7.6,24.8,99.4
2022-01-16,7.2,25.0,83.6
2022-01-23,7.5,30.1,79.9
2022-01-30,9.9,29.2,86.0
2022-02-06,9.7,32.0,87.4
2022-02-13,8.8,21.7,80.6
2022-02-20,7.9,18.8,54.2
