date,entries,Erstimpfungen 7-Tages-Schnitt
2020-12-22,0,
2020-12-23,12,
2020-12-24,29,
2020-12-25,0,5.86
2020-12-26,0,5.86
2020-12-27,0,4.14
2020-12-28,0,0.0
2020-12-29,0,0.0
2020-12-30,0,0.0
2020-12-31,0,0.0
2021-01-01,0,2.71
2021-01-02,0,23.14
2021-01-03,0,32.71
2021-01-04,19,37.14
2021-01-05,143,41.14
2021-01-06,67,41.14
2021-01-07,31,41.14
2021-01-08,28,43.57
2021-01-09,0,34.14
2021-01-10,0,28.71
2021-01-11,36,25.43
2021-01-12,77,24.14
2021-01-13,29,24.43
2021-01-14,8,24.43
2021-01-15,19,27.29
2021-01-16,2,32.71
2021-01-17,0,38.71
2021-01-18,56,44.29
2021-01-19,115,50.14
2021-01-20,71,50.29
2021-01-21,47,50.29
2021-01-22,60,44.0
2021-01-23,3,35.43
2021-01-24,0,26.14
2021-01-25,12,20.86
2021-01-26,55,14.71
2021-01-27,6,14.29
2021-01-28,10,14.29
2021-01-29,17,13.0
2021-01-30,0,6.14
2021-01-31,0,6.43
2021-02-01,3,5.29
2021-02-02,7,3.71
2021-02-03,8,3.71
2021-02-04,2,3.71
2021-02-05,6,4.0
2021-02-06,0,5.0
2021-02-07,0,12.71
2021-02-08,5,13.14
2021-02-09,14,14.86
2021-02-10,62,14.86
2021-02-11,5,14.86
2021-02-12,18,15.71
2021-02-13,0,15.29
2021-02-14,0,6.43
2021-02-15,11,6.43
2021-02-16,11,4.0
2021-02-17,0,4.14
2021-02-18,5,4.14
2021-02-19,1,2.57
2021-02-20,1,5.57
2021-02-21,0,8.71
2021-02-22,0,8.29
2021-02-23,32,8.14
2021-02-24,22,8.14
2021-02-25,2,8.14
2021-02-26,0,8.29
2021-02-27,1,4.43
2021-02-28,0,8.14
2021-03-01,1,10.71
2021-03-02,5,11.0
2021-03-03,48,11.0
2021-03-04,20,11.0
2021-03-05,2,12.43
2021-03-06,1,11.86
2021-03-07,0,5.14
2021-03-08,11,2.57
2021-03-09,1,2.43
2021-03-10,1,2.29
2021-03-11,2,2.29
2021-03-12,1,1.43
2021-03-13,0,1.29
2021-03-14,0,2.43
2021-03-15,5,2.57
2021-03-16,0,4.0
2021-03-17,9,4.0
2021-03-18,3,4.0
2021-03-19,11,4.0
2021-03-20,0,16.71
2021-03-21,0,24.57
2021-03-22,5,27.29
2021-03-23,89,35.14
2021-03-24,64,35.14
2021-03-25,22,35.14
2021-03-26,66,41.14
2021-03-27,0,48.14
2021-03-28,0,65.86
2021-03-29,47,82.0
2021-03-30,138,76.0
2021-03-31,188,76.0
2021-04-01,135,76.0
2021-04-02,24,69.29
2021-04-03,0,50.29
2021-04-04,0,39.0
2021-04-05,0,28.29
2021-04-06,5,43.14
2021-04-07,109,43.14
2021-04-08,60,43.14
2021-04-09,128,48.29
2021-04-10,0,50.43
2021-04-11,0,39.14
2021-04-12,36,31.43
2021-04-13,20,13.43
2021-04-14,30,14.0
2021-04-15,6,14.0
2021-04-16,2,20.14
2021-04-17,4,34.43
2021-04-18,0,42.57
2021-04-19,79,51.86
2021-04-20,120,61.43
2021-04-21,87,62.43
2021-04-22,71,62.43
2021-04-23,69,64.29
2021-04-24,11,60.86
2021-04-25,0,59.43
2021-04-26,92,56.0
2021-04-27,96,61.29
2021-04-28,77,63.14
2021-04-29,47,63.14
2021-04-30,106,63.29
2021-05-01,24,69.57
2021-05-02,0,74.0
2021-05-03,93,70.0
2021-05-04,140,58.43
2021-05-05,108,55.0
2021-05-06,19,55.0
2021-05-07,25,45.14
2021-05-08,0,48.71
2021-05-09,0,56.43
2021-05-10,24,55.0
2021-05-11,165,51.57
2021-05-12,162,59.71
2021-05-13,9,59.71
2021-05-14,1,70.0
2021-05-15,57,52.43
2021-05-16,0,42.0
2021-05-17,96,48.14
2021-05-18,42,53.43
2021-05-19,89,48.86
2021-05-20,52,48.86
2021-05-21,38,35.14
2021-05-22,25,42.0
2021-05-23,0,47.71
2021-05-24,0,63.29
2021-05-25,90,80.71
2021-05-26,129,98.43
2021-05-27,161,98.43
2021-05-28,160,111.0
2021-05-29,149,111.29
2021-05-30,0,121.57
2021-05-31,88,116.57
2021-06-01,92,112.14
2021-06-02,201,110.29
2021-06-03,126,110.29
2021-06-04,129,113.71
2021-06-05,136,103.86
2021-06-06,0,81.14
2021-06-07,112,79.43
2021-06-08,23,65.71
2021-06-09,42,49.0
2021-06-10,114,49.0
2021-06-11,33,34.29
2021-06-12,19,32.71
2021-06-13,0,38.86
2021-06-14,9,25.29
2021-06-15,12,21.29
2021-06-16,85,19.86
2021-06-17,19,19.86
2021-06-18,5,18.57
2021-06-19,9,27.29
2021-06-20,0,18.43
2021-06-21,0,16.57
2021-06-22,73,18.29
2021-06-23,23,17.43
2021-06-24,6,17.43
2021-06-25,17,23.0
2021-06-26,3,13.71
2021-06-27,0,11.43
2021-06-28,39,12.14
2021-06-29,8,12.14
2021-06-30,7,14.14
2021-07-01,11,14.14
2021-07-02,17,10.14
2021-07-03,17,9.14
2021-07-04,0,16.29
2021-07-05,11,15.71
2021-07-06,1,13.57
2021-07-07,57,11.86
2021-07-08,7,11.86
2021-07-09,2,11.43
2021-07-10,5,11.57
2021-07-11,0,4.86
2021-07-12,8,13.43
2021-07-13,2,13.14
2021-07-14,10,12.71
2021-07-15,67,12.71
2021-07-16,0,12.0
2021-07-17,2,15.57
2021-07-18,0,14.29
2021-07-19,3,5.14
2021-07-20,27,5.29
2021-07-21,1,5.0
2021-07-22,3,5.0
2021-07-23,1,5.86
2021-07-24,0,2.57
2021-07-25,0,13.71
2021-07-26,9,13.29
2021-07-27,4,13.43
2021-07-28,79,13.43
2021-07-29,0,13.43
2021-07-30,2,12.14
2021-07-31,0,11.57
2021-08-01,0,12.57
2021-08-02,0,14.0
2021-08-03,0,14.14
2021-08-04,86,14.14
2021-08-05,10,14.14
2021-08-06,3,14.14
2021-08-07,0,16.71
2021-08-08,0,9.57
2021-08-09,0,12.86
2021-08-10,18,12.43
2021-08-11,36,12.43
2021-08-12,33,12.43
2021-08-13,0,12.57
2021-08-14,0,16.43
2021-08-15,0,18.29
2021-08-16,1,19.0
2021-08-17,45,19.14
2021-08-18,49,19.14
2021-08-19,38,19.14
2021-08-20,1,19.0
2021-08-21,0,25.43
2021-08-22,0,31.14
2021-08-23,0,34.43
2021-08-24,90,34.29
2021-08-25,89,34.43
2021-08-26,61,34.43
2021-08-27,0,34.71
2021-08-28,1,31.86
2021-08-29,0,31.57
2021-08-30,2,29.57
2021-08-31,70,29.86
2021-09-01,87,31.43
2021-09-02,47,31.43
2021-09-03,2,31.29
2021-09-04,12,33.29
2021-09-05,0,29.14
2021-09-06,1,31.14
2021-09-07,84,31.0
2021-09-08,58,32.0
2021-09-09,61,32.0
2021-09-10,1,32.0
2021-09-11,19,36.57
2021-09-12,0,45.29
2021-09-13,1,47.71
2021-09-14,116,51.86
2021-09-15,119,52.71
2021-09-16,78,52.71
2021-09-17,30,53.14
2021-09-18,25,40.57
2021-09-19,0,28.29
2021-09-20,4,23.57
2021-09-21,28,21.0
2021-09-22,33,18.86
2021-09-23,45,18.86
2021-09-24,12,
2021-09-25,10,
2021-09-26,0,
