date,entries,Erstimpfungen 7-Tages-Schnitt
2020-12-22,0,
2020-12-23,3,
2020-12-24,1,
2020-12-25,0,0.57
2020-12-26,0,0.57
2020-12-27,0,0.29
2020-12-28,0,0.14
2020-12-29,0,0.14
2020-12-30,1,0.14
2020-12-31,0,0.14
2021-01-01,0,12.86
2021-01-02,0,48.71
2021-01-03,0,72.14
2021-01-04,89,100.43
2021-01-05,251,105.14
2021-01-06,165,105.14
2021-01-07,198,105.14
2021-01-08,33,93.29
2021-01-09,0,60.71
2021-01-10,0,39.57
2021-01-11,6,13.57
2021-01-12,23,9.71
2021-01-13,17,12.0
2021-01-14,16,12.0
2021-01-15,6,32.86
2021-01-16,16,80.0
2021-01-17,0,129.14
2021-01-18,152,193.57
2021-01-19,353,202.57
2021-01-20,361,207.86
2021-01-21,467,207.86
2021-01-22,69,240.86
2021-01-23,53,222.86
2021-01-24,0,201.57
2021-01-25,383,145.86
2021-01-26,227,170.0
2021-01-27,212,162.43
2021-01-28,77,162.43
2021-01-29,238,111.43
2021-01-30,0,82.43
2021-01-31,0,55.29
2021-02-01,26,46.71
2021-02-02,24,13.57
2021-02-03,22,13.57
2021-02-04,17,13.57
2021-02-05,6,13.0
2021-02-06,0,12.29
2021-02-07,0,11.0
2021-02-08,22,10.29
2021-02-09,19,12.0
2021-02-10,13,12.14
2021-02-11,12,12.14
2021-02-12,18,13.0
2021-02-13,1,16.86
2021-02-14,0,26.71
2021-02-15,28,35.86
2021-02-16,46,35.0
2021-02-17,82,35.86
2021-02-18,76,35.86
2021-02-19,12,34.57
2021-02-20,7,33.43
2021-02-21,0,39.0
2021-02-22,19,32.57
2021-02-23,38,31.71
2021-02-24,121,31.14
2021-02-25,31,31.14
2021-02-26,6,35.29
2021-02-27,3,44.71
2021-02-28,0,35.29
2021-03-01,48,36.14
2021-03-02,104,38.86
2021-03-03,55,39.29
2021-03-04,37,39.43
2021-03-05,25,55.14
2021-03-06,6,66.0
2021-03-07,1,60.29
2021-03-08,158,56.71
2021-03-09,180,55.29
2021-03-10,15,54.71
2021-03-11,12,54.71
2021-03-12,15,78.71
2021-03-13,2,55.57
2021-03-14,1,91.29
2021-03-15,326,109.14
2021-03-16,18,133.14
2021-03-17,265,133.0
2021-03-18,137,132.86
2021-03-19,183,137.0
2021-03-20,1,164.14
2021-03-21,0,142.57
2021-03-22,355,179.71
2021-03-23,208,188.29
2021-03-24,114,189.0
2021-03-25,397,189.0
2021-03-26,243,187.57
2021-03-27,6,187.57
2021-03-28,0,202.57
2021-03-29,345,164.29
2021-03-30,208,149.86
2021-03-31,219,150.14
2021-04-01,129,150.14
2021-04-02,142,100.86
2021-04-03,8,94.86
2021-04-04,0,141.43
2021-04-05,0,159.29
2021-04-06,166,180.43
2021-04-07,545,180.86
2021-04-08,254,180.86
2021-04-09,290,197.29
2021-04-10,11,208.86
2021-04-11,0,182.0
2021-04-12,115,183.57
2021-04-13,247,150.57
2021-04-14,357,158.14
2021-04-15,265,158.29
2021-04-16,59,148.43
2021-04-17,64,121.14
2021-04-18,1,85.0
2021-04-19,46,59.14
2021-04-20,56,83.57
2021-04-21,104,75.71
2021-04-22,84,75.57
2021-04-23,230,78.57
2021-04-24,9,96.86
2021-04-25,0,119.0
2021-04-26,67,148.86
2021-04-27,184,138.0
2021-04-28,259,141.14
2021-04-29,293,141.29
2021-04-30,154,180.29
2021-05-01,31,181.86
2021-05-02,1,166.14
2021-05-03,340,159.0
2021-05-04,195,159.29
2021-05-05,149,177.57
2021-05-06,243,177.43
2021-05-07,156,161.86
2021-05-08,159,210.29
2021-05-09,0,234.57
2021-05-10,231,220.43
2021-05-11,534,228.71
2021-05-12,319,212.14
2021-05-13,144,212.14
2021-05-14,214,245.71
2021-05-15,43,235.57
2021-05-16,0,258.0
2021-05-17,466,323.57
2021-05-18,463,336.57
2021-05-19,476,365.29
2021-05-20,603,365.29
2021-05-21,305,298.86
2021-05-22,244,276.14
2021-05-23,0,262.71
2021-05-24,1,222.57
2021-05-25,304,238.86
2021-05-26,382,260.57
2021-05-27,322,260.57
2021-05-28,419,296.14
2021-05-29,396,294.14
2021-05-30,0,304.86
2021-05-31,250,295.14
2021-06-01,290,272.43
2021-06-02,457,255.71
2021-06-03,254,255.71
2021-06-04,260,250.29
2021-06-05,279,231.71
2021-06-06,0,203.43
2021-06-07,212,202.0
2021-06-08,160,194.57
2021-06-09,259,203.0
2021-06-10,244,203.14
2021-06-11,208,187.29
2021-06-12,338,174.57
2021-06-13,1,160.57
2021-06-14,101,137.57
2021-06-15,71,130.86
2021-06-16,161,108.43
2021-06-17,83,108.29
2021-06-18,161,123.86
2021-06-19,181,142.0
2021-06-20,0,146.29
2021-06-21,210,147.71
2021-06-22,198,144.14
2021-06-23,191,130.57
2021-06-24,93,130.57
2021-06-25,136,117.86
2021-06-26,86,115.0
2021-06-27,0,101.43
2021-06-28,121,116.29
2021-06-29,178,121.43
2021-06-30,96,127.29
2021-07-01,197,127.29
2021-07-02,172,136.86
2021-07-03,127,123.14
2021-07-04,0,130.57
2021-07-05,188,112.43
2021-07-06,82,101.86
2021-07-07,148,92.86
2021-07-08,70,92.86
2021-07-09,98,78.14
2021-07-10,64,70.71
2021-07-11,0,60.86
2021-07-12,85,56.57
2021-07-13,30,48.86
2021-07-14,79,46.86
2021-07-15,40,46.86
2021-07-16,44,41.0
2021-07-17,50,43.43
2021-07-18,0,35.86
2021-07-19,44,33.86
2021-07-20,47,31.71
2021-07-21,26,28.14
2021-07-22,26,28.14
2021-07-23,29,26.29
2021-07-24,25,32.14
2021-07-25,0,41.14
2021-07-26,31,40.43
2021-07-27,88,39.29
2021-07-28,89,35.71
2021-07-29,21,35.71
2021-07-30,21,32.57
2021-07-31,0,27.0
2021-08-01,0,23.29
2021-08-02,9,23.0
2021-08-03,49,25.71
2021-08-04,63,25.71
2021-08-05,19,25.71
2021-08-06,40,30.0
2021-08-07,0,27.29
2021-08-08,0,31.0
2021-08-09,39,31.71
2021-08-10,30,36.71
2021-08-11,89,37.57
2021-08-12,24,37.57
2021-08-13,75,41.14
2021-08-14,6,38.14
2021-08-15,0,59.71
2021-08-16,64,57.43
2021-08-17,9,47.43
2021-08-18,240,47.14
2021-08-19,8,47.14
2021-08-20,5,38.57
2021-08-21,4,95.43
2021-08-22,0,73.57
2021-08-23,4,77.57
2021-08-24,407,90.86
2021-08-25,87,91.57
2021-08-26,36,91.57
2021-08-27,98,92.86
2021-08-28,9,37.71
2021-08-29,0,62.57
2021-08-30,13,60.14
2021-08-31,21,48.86
2021-09-01,261,67.43
2021-09-02,19,67.71
2021-09-03,19,67.43
2021-09-04,139,121.0
2021-09-05,2,113.71
2021-09-06,11,113.57
2021-09-07,396,114.0
2021-09-08,210,136.86
2021-09-09,18,136.57
2021-09-10,22,
2021-09-11,299,
2021-09-12,0,
