date,entries,Erstimpfungen 7-Tages-Schnitt
2020-12-22,0,
2020-12-23,99,
2020-12-24,0,
2020-12-25,0,25.29
2020-12-26,0,25.43
2020-12-27,0,11.43
2020-12-28,78,11.43
2020-12-29,1,11.43
2020-12-30,1,11.43
2020-12-31,0,11.43
2021-01-01,0,0.43
2021-01-02,0,11.43
2021-01-03,0,14.29
2021-01-04,1,29.43
2021-01-05,78,49.43
2021-01-06,21,49.43
2021-01-07,106,49.43
2021-01-08,140,53.71
2021-01-09,0,91.57
2021-01-10,0,148.29
2021-01-11,31,182.43
2021-01-12,343,179.71
2021-01-13,418,180.86
2021-01-14,345,180.86
2021-01-15,121,178.86
2021-01-16,8,137.14
2021-01-17,0,84.0
2021-01-18,17,45.43
2021-01-19,51,45.43
2021-01-20,46,44.43
2021-01-21,75,44.43
2021-01-22,121,51.43
2021-01-23,1,63.14
2021-01-24,0,90.0
2021-01-25,66,93.0
2021-01-26,133,90.0
2021-01-27,234,89.86
2021-01-28,96,89.86
2021-01-29,100,84.0
2021-01-30,0,66.0
2021-01-31,0,38.57
2021-02-01,25,26.43
2021-02-02,7,14.29
2021-02-03,42,14.29
2021-02-04,11,14.29
2021-02-05,15,10.71
2021-02-06,0,9.86
2021-02-07,0,4.14
2021-02-08,0,3.0
2021-02-09,1,1.0
2021-02-10,2,1.0
2021-02-11,3,1.0
2021-02-12,1,1.0
2021-02-13,0,1.0
2021-02-14,0,1.0
2021-02-15,0,2.57
2021-02-16,1,8.14
2021-02-17,2,8.14
2021-02-18,14,8.14
2021-02-19,40,8.86
2021-02-20,0,11.71
2021-02-21,0,15.43
2021-02-22,5,19.0
2021-02-23,21,14.71
2021-02-24,28,14.71
2021-02-25,39,14.71
2021-02-26,10,14.29
2021-02-27,0,20.0
2021-02-28,0,35.43
2021-03-01,2,36.29
2021-03-02,61,40.71
2021-03-03,136,40.86
2021-03-04,45,40.86
2021-03-05,41,44.29
2021-03-06,1,40.0
2021-03-07,0,25.0
2021-03-08,26,33.43
2021-03-09,31,46.71
2021-03-10,31,46.57
2021-03-11,104,46.57
2021-03-12,134,44.57
2021-03-13,0,57.14
2021-03-14,0,69.29
2021-03-15,12,66.0
2021-03-16,119,48.86
2021-03-17,116,49.14
2021-03-18,81,49.14
2021-03-19,14,48.86
2021-03-20,2,42.71
2021-03-21,0,68.0
2021-03-22,10,74.14
2021-03-23,76,98.57
2021-03-24,293,99.71
2021-03-25,124,99.86
2021-03-26,185,102.57
2021-03-27,10,97.14
2021-03-28,1,108.57
2021-03-29,29,117.86
2021-03-30,38,91.43
2021-03-31,373,90.14
2021-04-01,189,90.0
2021-04-02,0,86.0
2021-04-03,1,81.43
2021-04-04,0,32.57
2021-04-05,1,21.0
2021-04-06,6,56.57
2021-04-07,31,67.86
2021-04-08,108,67.86
2021-04-09,249,94.71
2021-04-10,80,116.71
2021-04-11,0,145.29
2021-04-12,189,171.14
2021-04-13,160,163.29
2021-04-14,231,165.29
2021-04-15,289,165.43
2021-04-16,194,144.0
2021-04-17,94,132.43
2021-04-18,1,144.0
2021-04-19,39,129.86
2021-04-20,79,124.0
2021-04-21,312,111.29
2021-04-22,190,111.43
2021-04-23,153,107.43
2021-04-24,5,112.29
2021-04-25,2,102.0
2021-04-26,11,102.71
2021-04-27,113,148.57
2021-04-28,240,175.29
2021-04-29,195,175.14
2021-04-30,474,225.14
2021-05-01,192,248.14
2021-05-02,1,250.57
2021-05-03,361,255.57
2021-05-04,274,251.86
2021-05-05,257,228.43
2021-05-06,230,229.29
2021-05-07,448,206.57
2021-05-08,28,216.29
2021-05-09,7,233.71
2021-05-10,202,229.14
2021-05-11,342,205.43
2021-05-12,379,202.0
2021-05-13,198,201.14
2021-05-14,282,204.0
2021-05-15,4,189.14
2021-05-16,1,170.14
2021-05-17,222,175.29
2021-05-18,238,218.0
2021-05-19,246,226.43
2021-05-20,234,226.57
2021-05-21,581,225.14
2021-05-22,63,237.43
2021-05-23,2,263.0
2021-05-24,212,288.0
2021-05-25,324,254.14
2021-05-26,425,249.29
2021-05-27,409,249.0
2021-05-28,344,246.57
2021-05-29,29,217.29
2021-05-30,0,172.71
2021-05-31,195,126.57
2021-06-01,119,166.14
2021-06-02,113,164.71
2021-06-03,86,164.71
2021-06-04,621,162.86
2021-06-05,19,186.0
2021-06-06,0,220.0
2021-06-07,182,253.57
2021-06-08,281,201.57
2021-06-09,351,201.0
2021-06-10,321,201.0
2021-06-11,257,190.43
2021-06-12,15,167.71
2021-06-13,0,143.29
2021-06-14,108,113.29
2021-06-15,122,122.71
2021-06-16,180,122.57
2021-06-17,111,122.86
2021-06-18,323,123.29
2021-06-19,14,127.0
2021-06-20,2,123.29
2021-06-21,111,136.86
2021-06-22,148,126.57
2021-06-23,154,125.71
2021-06-24,206,125.57
2021-06-25,251,137.43
2021-06-26,8,150.29
2021-06-27,1,170.71
2021-06-28,194,173.29
2021-06-29,238,173.71
2021-06-30,297,176.0
2021-07-01,224,175.86
2021-07-02,254,170.0
2021-07-03,24,159.86
2021-07-04,0,144.43
2021-07-05,153,135.29
2021-07-06,167,126.14
2021-07-07,189,126.43
2021-07-08,160,126.43
2021-07-09,190,116.29
2021-07-10,26,104.57
2021-07-11,0,96.43
2021-07-12,82,88.29
2021-07-13,85,73.71
2021-07-14,132,70.14
2021-07-15,103,70.29
2021-07-16,88,60.29
2021-07-17,1,56.57
2021-07-18,1,42.86
2021-07-19,12,42.0
2021-07-20,59,40.71
2021-07-21,36,40.86
2021-07-22,97,40.71
2021-07-23,79,41.43
2021-07-24,2,47.29
2021-07-25,0,57.0
2021-07-26,17,52.57
2021-07-27,100,51.0
2021-07-28,104,51.29
2021-07-29,66,51.29
2021-07-30,68,50.43
2021-07-31,4,39.29
2021-08-01,0,31.14
2021-08-02,11,31.0
2021-08-03,22,27.14
2021-08-04,47,26.86
2021-08-05,65,26.86
2021-08-06,41,28.0
2021-08-07,2,26.29
2021-08-08,0,34.86
2021-08-09,19,31.43
2021-08-10,10,29.0
2021-08-11,107,28.86
2021-08-12,41,28.86
2021-08-13,24,26.57
2021-08-14,1,30.57
2021-08-15,0,33.71
2021-08-16,3,31.43
2021-08-17,38,41.71
2021-08-18,129,44.71
2021-08-19,25,44.71
2021-08-20,96,52.86
2021-08-21,22,54.57
2021-08-22,0,58.71
2021-08-23,60,77.71
2021-08-24,50,101.86
2021-08-25,158,103.57
2021-08-26,158,105.29
2021-08-27,265,102.43
2021-08-28,34,119.57
2021-08-29,12,104.71
2021-08-30,40,87.71
2021-08-31,170,84.71
2021-09-01,54,84.0
2021-09-02,39,82.43
2021-09-03,244,79.71
2021-09-04,29,86.14
2021-09-05,1,86.86
2021-09-06,21,92.0
2021-09-07,215,108.57
2021-09-08,59,109.14
2021-09-09,75,109.29
2021-09-10,360,113.0
2021-09-11,33,133.86
2021-09-12,2,139.43
2021-09-13,47,137.0
2021-09-14,361,117.86
2021-09-15,98,116.0
2021-09-16,58,116.14
2021-09-17,226,115.43
2021-09-18,20,99.0
2021-09-19,3,96.29
2021-09-20,42,96.71
2021-09-21,246,76.14
2021-09-22,79,75.29
2021-09-23,61,75.57
2021-09-24,82,72.71
2021-09-25,14,57.0
2021-09-26,5,55.86
2021-09-27,22,52.57
2021-09-28,136,49.86
2021-09-29,71,50.14
2021-09-30,38,49.43
2021-10-01,63,47.57
2021-10-02,16,
2021-10-03,0,
2021-10-04,9,
