date,entries,Erstimpfungen 7-Tages-Schnitt
2020-12-22,0,
2020-12-23,0,
2020-12-24,0,
2020-12-25,0,0.14
2020-12-26,0,0.14
2020-12-27,0,0.14
2020-12-28,1,0.14
2020-12-29,0,0.14
2020-12-30,0,0.14
2020-12-31,0,0.14
2021-01-01,0,3.14
2021-01-02,0,22.71
2021-01-03,0,36.29
2021-01-04,22,50.0
2021-01-05,137,63.14
2021-01-06,95,63.29
2021-01-07,96,63.29
2021-01-08,92,68.29
2021-01-09,1,69.57
2021-01-10,0,60.57
2021-01-11,57,73.57
2021-01-12,146,63.86
2021-01-13,32,64.14
2021-01-14,187,64.14
2021-01-15,24,56.71
2021-01-16,3,37.14
2021-01-17,0,39.71
2021-01-18,5,65.0
2021-01-19,9,86.86
2021-01-20,50,89.0
2021-01-21,364,89.0
2021-01-22,177,98.29
2021-01-23,18,103.86
2021-01-24,0,103.43
2021-01-25,70,85.71
2021-01-26,48,61.0
2021-01-27,47,58.43
2021-01-28,240,58.43
2021-01-29,4,50.43
2021-01-30,0,45.57
2021-01-31,0,40.29
2021-02-01,14,13.57
2021-02-02,14,15.14
2021-02-03,10,15.14
2021-02-04,53,15.14
2021-02-05,15,13.14
2021-02-06,0,11.14
2021-02-07,0,10.43
2021-02-08,0,5.43
2021-02-09,0,3.29
2021-02-10,5,3.43
2021-02-11,18,3.43
2021-02-12,0,3.57
2021-02-13,1,4.0
2021-02-14,0,5.86
2021-02-15,1,3.71
2021-02-16,3,5.86
2021-02-17,18,5.86
2021-02-18,3,5.86
2021-02-19,15,6.0
2021-02-20,1,7.71
2021-02-21,0,6.43
2021-02-22,2,7.29
2021-02-23,15,6.14
2021-02-24,9,6.0
2021-02-25,9,6.0
2021-02-26,7,6.57
2021-02-27,0,5.57
2021-02-28,0,28.57
2021-03-01,6,44.43
2021-03-02,8,58.71
2021-03-03,170,58.71
2021-03-04,120,58.71
2021-03-05,107,61.14
2021-03-06,0,63.43
2021-03-07,0,57.0
2021-03-08,23,75.71
2021-03-09,24,61.14
2021-03-10,125,61.14
2021-03-11,251,61.14
2021-03-12,5,60.14
