date,entries,Erstimpfungen 7-Tages-Schnitt
2020-12-22,0,
2020-12-23,0,
2020-12-24,1,
2020-12-25,0,0.43
2020-12-26,0,1.71
2020-12-27,0,2.0
2020-12-28,2,1.86
2020-12-29,9,1.86
2020-12-30,2,2.0
2020-12-31,0,2.0
2021-01-01,0,2.57
2021-01-02,1,3.29
2021-01-03,0,21.86
2021-01-04,6,44.57
2021-01-05,14,64.29
2021-01-06,132,65.29
2021-01-07,159,65.29
2021-01-08,138,101.0
2021-01-09,8,144.0
2021-01-10,0,184.0
2021-01-11,256,224.57
2021-01-12,315,231.0
2021-01-13,412,260.71
2021-01-14,443,260.71
2021-01-15,183,290.86
2021-01-16,216,368.86
2021-01-17,0,429.43
2021-01-18,467,473.0
2021-01-19,861,526.14
2021-01-20,836,583.29
2021-01-21,748,583.71
2021-01-22,555,649.43
2021-01-23,616,922.71
2021-01-24,3,1184.29
2021-01-25,927,1466.71
2021-01-26,2774,1685.14
2021-01-27,2667,1597.14
2021-01-28,2725,1596.71
2021-01-29,2084,1623.86
2021-01-30,0,1442.57
2021-01-31,0,1231.43
2021-02-01,1117,1002.71
2021-02-02,1505,841.43
2021-02-03,1189,862.29
2021-02-04,1124,863.29
2021-02-05,955,789.57
2021-02-06,146,733.43
2021-02-07,7,666.29
2021-02-08,601,622.29
2021-02-09,1112,520.14
2021-02-10,719,506.14
2021-02-11,816,505.43
2021-02-12,240,448.43
2021-02-13,48,351.71
2021-02-14,2,304.57
2021-02-15,202,265.0
2021-02-16,435,310.29
2021-02-17,389,361.86
2021-02-18,539,361.57
2021-02-19,557,351.29
2021-02-20,409,377.86
2021-02-21,0,389.86
2021-02-22,130,370.43
2021-02-23,621,357.29
2021-02-24,473,309.71
2021-02-25,403,311.14
2021-02-26,465,327.29
2021-02-27,76,287.86
2021-02-28,10,377.57
2021-03-01,243,559.43
2021-03-02,345,706.57
2021-03-03,1101,783.71
2021-03-04,1676,782.43
2021-03-05,1495,871.29
2021-03-06,616,973.43
2021-03-07,1,973.57
2021-03-08,865,879.57
2021-03-09,1060,792.71
2021-03-10,1102,761.71
