date,entries,Erstimpfungen 7-Tages-Schnitt
2020-12-21,0,
2020-12-22,0,
2020-12-23,59,
2020-12-24,4,16.14
2020-12-25,0,30.57
2020-12-26,50,31.29
2020-12-27,0,23.57
2020-12-28,101,30.29
2020-12-29,5,30.29
2020-12-30,5,23.14
2020-12-31,51,23.14
2021-01-01,0,8.71
2021-01-02,0,42.0
2021-01-03,0,42.43
2021-01-04,0,47.57
2021-01-05,238,99.29
2021-01-06,8,100.14
2021-01-07,87,100.29
2021-01-08,362,109.14
2021-01-09,6,91.43
2021-01-10,1,129.14
2021-01-11,62,143.14
2021-01-12,114,129.57
2021-01-13,272,129.71
2021-01-14,185,129.57
2021-01-15,267,163.57
2021-01-16,7,187.71
2021-01-17,0,209.86
2021-01-18,300,228.57
2021-01-19,283,215.71
2021-01-20,427,216.0
2021-01-21,316,216.43
2021-01-22,177,196.57
2021-01-23,9,183.57
2021-01-24,3,151.57
2021-01-25,161,136.71
2021-01-26,192,141.57
2021-01-27,203,140.29
2021-01-28,212,139.86
2021-01-29,211,147.14
2021-01-30,0,150.29
2021-01-31,0,158.57
2021-02-01,212,166.14
2021-02-02,214,185.0
2021-02-03,261,185.29
2021-02-04,265,185.43
2021-02-05,343,190.57
2021-02-06,2,198.29
2021-02-07,1,203.14
2021-02-08,248,207.71
2021-02-09,268,226.14
2021-02-10,295,228.57
2021-02-11,297,228.43
2021-02-12,472,229.86
2021-02-13,19,243.14
2021-02-14,0,249.0
2021-02-15,258,259.14
2021-02-16,361,239.57
2021-02-17,336,237.14
2021-02-18,368,237.14
2021-02-19,335,243.0
2021-02-20,2,235.43
2021-02-21,0,221.29
2021-02-22,299,210.57
2021-02-23,308,202.86
2021-02-24,237,203.0
2021-02-25,293,203.14
2021-02-26,281,196.43
2021-02-27,3,188.86
2021-02-28,1,189.43
2021-03-01,252,185.57
2021-03-02,255,182.29
2021-03-03,241,182.43
2021-03-04,266,182.57
2021-03-05,258,190.86
2021-03-06,4,209.57
2021-03-07,2,270.29
2021-03-08,310,283.43
2021-03-09,386,298.0
2021-03-10,666,297.71
2021-03-11,358,297.71
2021-03-12,360,298.86
2021-03-13,2,290.0
2021-03-14,2,234.14
2021-03-15,318,218.43
2021-03-16,324,194.71
2021-03-17,275,194.57
2021-03-18,248,194.43
2021-03-19,194,184.71
2021-03-20,1,178.71
2021-03-21,1,179.57
2021-03-22,250,194.29
2021-03-23,282,224.29
2021-03-24,281,226.86
2021-03-25,351,226.86
2021-03-26,404,244.14
2021-03-27,19,266.43
2021-03-28,1,276.57
2021-03-29,371,277.29
2021-03-30,438,219.71
2021-03-31,352,217.0
2021-04-01,356,216.86
2021-04-02,1,164.0
2021-04-03,0,140.86
2021-04-04,0,140.43
2021-04-05,1,137.0
2021-04-06,276,190.57
2021-04-07,349,191.86
2021-04-08,332,192.14
2021-04-09,376,242.29
2021-04-10,9,259.43
2021-04-11,2,268.14
2021-04-12,352,289.0
2021-04-13,396,288.0
2021-04-14,410,289.43
2021-04-15,478,289.43
2021-04-16,369,327.43
2021-04-17,19,367.0
2021-04-18,2,431.14
2021-04-19,618,495.43
2021-04-20,673,574.43
2021-04-21,859,584.29
2021-04-22,928,584.71
2021-04-23,922,597.71
2021-04-24,88,644.57
2021-04-25,5,658.14
2021-04-26,709,670.14
2021-04-27,1001,678.57
2021-04-28,954,732.86
2021-04-29,1012,784.86
2021-04-30,981,816.0
2021-05-01,468,809.14
2021-05-02,369,816.14
2021-05-03,927,812.57
2021-05-04,953,811.14
2021-05-05,1003,865.43
2021-05-06,987,928.14
2021-05-07,971,935.43
2021-05-08,848,957.57
2021-05-09,808,976.43
2021-05-10,978,917.57
2021-05-11,1108,890.14
2021-05-12,1135,910.86
2021-05-13,575,932.14
2021-05-14,779,903.71
2021-05-15,993,858.29
2021-05-16,957,828.14
2021-05-17,779,862.29
2021-05-18,790,860.71
2021-05-19,924,854.86
2021-05-20,814,866.43
2021-05-21,768,831.57
2021-05-22,952,809.43
2021-05-23,1038,777.71
2021-05-24,535,757.43
2021-05-25,635,738.0
2021-05-26,702,741.29
2021-05-27,672,723.71
2021-05-28,632,712.86
2021-05-29,975,695.14
2021-05-30,915,673.71
2021-05-31,459,634.71
2021-06-01,511,599.29
2021-06-02,552,598.71
2021-06-03,399,610.14
2021-06-04,384,604.0
2021-06-05,971,594.57
2021-06-06,995,589.29
2021-06-07,416,602.14
2021-06-08,445,632.0
2021-06-09,515,651.0
2021-06-10,489,638.57
2021-06-11,593,648.14
