date,entries,Erstimpfungen 7-Tages-Schnitt
2020-12-22,0,
2020-12-23,0,
2020-12-24,0,
2020-12-25,0,0.0
2020-12-26,0,0.29
2020-12-27,0,0.29
2020-12-28,0,0.29
2020-12-29,2,0.29
2020-12-30,0,0.29
2020-12-31,0,0.29
2021-01-01,0,5.86
2021-01-02,0,12.86
2021-01-03,0,12.86
2021-01-04,39,32.14
2021-01-05,51,52.71
2021-01-06,0,52.71
2021-01-07,135,52.71
2021-01-08,144,63.43
2021-01-09,0,68.43
2021-01-10,0,81.14
2021-01-11,114,74.86
2021-01-12,86,63.0
2021-01-13,89,63.14
2021-01-14,91,63.14
2021-01-15,61,56.29
2021-01-16,1,59.14
2021-01-17,0,56.0
2021-01-18,66,59.71
2021-01-19,106,67.57
2021-01-20,67,67.43
2021-01-21,117,67.57
2021-01-22,116,69.71
2021-01-23,0,60.71
2021-01-24,1,72.0
2021-01-25,81,84.14
2021-01-26,43,83.14
2021-01-27,146,83.14
2021-01-28,202,83.0
2021-01-29,109,81.0
2021-01-30,0,78.14
2021-01-31,0,57.57
2021-02-01,67,46.71
2021-02-02,23,42.71
2021-02-03,2,42.71
2021-02-04,126,42.71
2021-02-05,81,33.29
2021-02-06,0,31.86
2021-02-07,0,38.0
2021-02-08,1,38.14
2021-02-09,13,28.86
2021-02-10,45,28.86
2021-02-11,127,28.86
2021-02-12,16,36.14
2021-02-13,0,43.71
2021-02-14,0,39.86
2021-02-15,52,32.14
2021-02-16,66,36.29
2021-02-17,18,36.29
2021-02-18,73,36.29
2021-02-19,45,33.0
2021-02-20,0,34.57
2021-02-21,0,32.14
2021-02-22,29,22.43
2021-02-23,77,16.71
2021-02-24,1,16.71
2021-02-25,5,16.71
2021-02-26,5,24.71
2021-02-27,0,33.86
2021-02-28,0,45.86
2021-03-01,85,77.71
2021-03-02,141,80.86
2021-03-03,85,80.86
2021-03-04,228,80.86
2021-03-05,27,79.86
2021-03-06,0,71.86
2021-03-07,0,67.0
2021-03-08,78,49.57
2021-03-09,85,62.14
2021-03-10,51,62.43
2021-03-11,106,62.43
2021-03-12,115,63.14
