date,entries,Erstimpfungen 7-Tages-Schnitt
2020-12-21,0,
2020-12-22,0,
2020-12-23,110,
2020-12-24,35,20.71
2020-12-25,0,20.71
2020-12-26,0,25.29
2020-12-27,0,13.57
2020-12-28,0,8.57
2020-12-29,32,8.57
2020-12-30,28,8.57
2020-12-31,0,8.57
2021-01-01,0,8.57
2021-01-02,0,4.43
2021-01-03,0,6.71
2021-01-04,0,23.14
2021-01-05,3,49.71
2021-01-06,44,50.0
2021-01-07,115,50.0
2021-01-08,186,64.57
2021-01-09,2,85.43
2021-01-10,0,97.29
2021-01-11,102,103.0
2021-01-12,149,111.29
2021-01-13,127,146.43
2021-01-14,155,181.57
2021-01-15,244,221.14
2021-01-16,248,293.71
2021-01-17,246,387.14
2021-01-18,379,463.29
2021-01-19,657,522.14
2021-01-20,781,563.86
2021-01-21,688,604.86
2021-01-22,656,587.14
2021-01-23,540,528.14
2021-01-24,533,449.86
2021-01-25,255,354.14
2021-01-26,244,262.29
2021-01-27,233,185.14
2021-01-28,18,109.0
2021-01-29,13,73.86
2021-01-30,0,39.86
2021-01-31,0,8.14
2021-02-01,9,34.29
2021-02-02,6,38.43
2021-02-03,11,41.57
2021-02-04,201,53.86
2021-02-05,42,53.14
2021-02-06,22,55.0
2021-02-07,86,57.0
2021-02-08,4,30.57
2021-02-09,19,52.0
2021-02-10,25,55.29
2021-02-11,16,44.29
2021-02-12,192,45.57
2021-02-13,45,47.57
2021-02-14,9,53.71
2021-02-15,13,62.0
2021-02-16,33,42.0
2021-02-17,68,42.29
2021-02-18,74,46.57
2021-02-19,52,49.86
2021-02-20,47,54.29
2021-02-21,39,59.57
2021-02-22,36,60.29
2021-02-23,64,85.14
2021-02-24,105,108.86
2021-02-25,79,119.57
2021-02-26,226,130.0
2021-02-27,213,142.71
2021-02-28,114,165.43
2021-03-01,109,198.14
2021-03-02,153,201.14
2021-03-03,264,202.57
2021-03-04,308,211.29
2021-03-05,247,201.86
2021-03-06,223,203.43
2021-03-07,175,181.29
2021-03-08,43,157.86
2021-03-09,164,130.29
2021-03-10,109,104.57
2021-03-11,144,79.57
2021-03-12,54,119.86
2021-03-13,43,128.57
2021-03-14,0,138.14
2021-03-15,325,150.86
2021-03-16,225,185.29
2021-03-17,176,209.86
2021-03-18,233,239.86
2021-03-19,295,234.86
2021-03-20,215,246.43
2021-03-21,210,260.57
2021-03-22,290,279.29
2021-03-23,306,272.57
2021-03-24,275,264.0
2021-03-25,364,266.71
2021-03-26,248,284.57
2021-03-27,155,302.43
2021-03-28,229,315.86
2021-03-29,415,306.14
2021-03-30,431,311.14
2021-03-31,369,310.14
2021-04-01,296,320.29
2021-04-02,283,310.71
2021-04-03,148,304.43
2021-04-04,300,307.29
2021-04-05,348,323.14
2021-04-06,387,335.86
2021-04-07,389,365.43
2021-04-08,407,373.71
2021-04-09,372,378.14
2021-04-10,355,399.71
2021-04-11,358,415.86
2021-04-12,379,420.43
2021-04-13,538,418.57
2021-04-14,502,405.57
2021-04-15,439,389.29
2021-04-16,359,390.71
2021-04-17,264,375.29
2021-04-18,244,385.14
2021-04-19,389,399.29
2021-04-20,430,408.86
2021-04-21,571,438.71
2021-04-22,538,441.29
2021-04-23,426,421.29
2021-04-24,473,396.14
2021-04-25,262,354.0
2021-04-26,249,355.57
2021-04-27,254,348.71
2021-04-28,276,346.0
2021-04-29,549,366.14
2021-04-30,378,418.0
2021-05-01,454,458.86
2021-05-02,403,480.57
2021-05-03,612,464.14
2021-05-04,540,489.43
2021-05-05,428,498.57
2021-05-06,434,503.14
2021-05-07,555,502.86
2021-05-08,518,486.43
2021-05-09,435,505.29
2021-05-10,610,515.0
2021-05-11,425,519.71
2021-05-12,560,539.57
2021-05-13,502,570.86
2021-05-14,588,562.0
2021-05-15,657,589.57
2021-05-16,654,629.29
2021-05-17,548,677.86
2021-05-18,618,711.71
2021-05-19,838,683.57
2021-05-20,842,679.14
2021-05-21,825,685.14
2021-05-22,460,690.0
2021-05-23,623,701.29
2021-05-24,590,718.57
2021-05-25,652,751.0
2021-05-26,917,780.14
2021-05-27,963,795.86
2021-05-28,1052,849.71
2021-05-29,664,919.71
2021-05-30,733,934.14
2021-05-31,967,907.43
2021-06-01,1142,880.71
2021-06-02,1018,901.57
2021-06-03,776,900.57
2021-06-04,865,881.71
2021-06-05,810,853.71
2021-06-06,726,832.0
2021-06-07,835,849.29
2021-06-08,946,852.43
2021-06-09,866,817.0
2021-06-10,897,785.29
2021-06-11,887,787.0
2021-06-12,562,749.43
