date,entries,Erstimpfungen 7-Tages-Schnitt
2021-09-21,1412,1104.0
2021-09-22,1118,1067.71
2021-09-23,1067,1041.0
2021-09-24,1246,958.57
2021-09-25,697,876.29
2021-09-26,309,819.86
2021-09-27,861,779.29
2021-09-28,836,718.57
2021-09-29,723,687.14
2021-09-30,783,660.57
2021-10-01,821,632.14
2021-10-02,477,601.43
2021-10-03,123,571.57
2021-10-04,662,561.57
2021-10-05,621,550.14
2021-10-06,514,553.86
2021-10-07,713,537.86
2021-10-08,741,541.14
2021-10-09,503,541.14
2021-10-10,11,556.43
2021-10-11,685,541.71
2021-10-12,621,536.0
2021-10-13,621,521.57
2021-10-14,610,521.43
2021-10-15,701,503.57
2021-10-16,402,486.71
2021-10-17,10,467.57
2021-10-18,560,437.57
2021-10-19,503,424.14
2021-10-20,487,415.14
2021-10-21,400,415.71
2021-10-22,607,403.0
2021-10-23,339,391.14
2021-10-24,14,375.57
2021-10-25,471,382.14
2021-10-26,420,376.29
2021-10-27,378,365.57
2021-10-28,446,363.86
2021-10-29,566,342.29
2021-10-30,264,329.57
2021-10-31,2,322.71
2021-11-01,320,313.57
2021-11-02,331,299.43
2021-11-03,330,295.29
2021-11-04,382,295.86
2021-11-05,467,323.14
2021-11-06,235,351.43
2021-11-07,6,385.43
2021-11-08,511,396.29
2021-11-09,529,416.43
2021-11-10,568,436.14
2021-11-11,458,437.43
2021-11-12,608,431.29
2021-11-13,373,414.71
2021-11-14,15,393.29
2021-11-15,468,384.0
2021-11-16,413,373.43
2021-11-17,418,360.29
2021-11-18,393,367.43
2021-11-19,534,357.57
2021-11-20,281,351.29
2021-11-21,65,348.14
2021-11-22,399,341.57
2021-11-23,369,317.29
2021-11-24,396,309.0
2021-11-25,347,303.57
2021-11-26,364,300.71
2021-11-27,223,308.57
2021-11-28,27,311.43
2021-11-29,379,319.71
2021-11-30,424,348.57
2021-12-01,416,376.71
2021-12-02,405,390.43
2021-12-03,566,407.29
2021-12-04,420,426.43
2021-12-05,123,447.29
2021-12-06,497,461.14
2021-12-07,558,464.0
2021-12-08,562,462.43
2021-12-09,502,469.86
2021-12-10,586,457.43
2021-12-11,409,441.71
2021-12-12,175,
2021-12-13,410,
2021-12-14,448,
