date,entries,Erstimpfungen 7-Tages-Schnitt
2021-08-15,0,18.29
2021-08-16,1,19.0
2021-08-17,45,19.14
2021-08-18,49,19.14
2021-08-19,38,19.14
2021-08-20,1,19.0
2021-08-21,0,25.43
2021-08-22,0,31.14
2021-08-23,0,34.57
2021-08-24,90,34.43
2021-08-25,89,34.57
2021-08-26,62,34.57
2021-08-27,0,34.86
2021-08-28,1,32.0
2021-08-29,0,31.71
2021-08-30,2,29.57
2021-08-31,70,29.86
2021-09-01,87,31.43
2021-09-02,47,31.43
2021-09-03,2,31.29
2021-09-04,12,33.29
2021-09-05,0,29.0
2021-09-06,1,31.0
2021-09-07,84,30.86
2021-09-08,57,31.86
2021-09-09,61,31.86
2021-09-10,1,31.86
2021-09-11,19,36.29
2021-09-12,0,45.14
2021-09-13,1,47.43
2021-09-14,115,51.57
2021-09-15,119,52.43
2021-09-16,77,52.43
2021-09-17,30,52.86
2021-09-18,25,40.43
2021-09-19,0,28.14
2021-09-20,4,23.86
2021-09-21,28,21.43
2021-09-22,33,19.29
2021-09-23,47,19.29
2021-09-24,13,19.0
2021-09-25,10,18.14
2021-09-26,0,17.0
2021-09-27,2,13.86
2021-09-28,22,13.0
2021-09-29,25,14.29
2021-09-30,25,14.29
2021-10-01,7,14.14
2021-10-02,19,14.86
2021-10-03,0,13.86
2021-10-04,1,11.71
2021-10-05,27,11.86
2021-10-06,18,13.86
2021-10-07,10,13.86
2021-10-08,8,
2021-10-09,33,
2021-10-10,0,
