date,entries,Erstimpfungen 7-Tages-Schnitt
2022-01-24,2,9.86
2022-01-25,0,5.14
2022-01-26,14,6.14
2022-01-27,3,6.14
2022-01-28,2,6.0
2022-01-29,22,6.29
2022-01-30,0,4.43
2022-01-31,1,4.0
2022-02-01,2,4.14
2022-02-02,1,2.14
2022-02-03,0,2.14
2022-02-04,3,2.0
2022-02-05,8,1.71
2022-02-06,0,2.14
2022-02-07,0,2.14
2022-02-08,0,1.71
2022-02-09,4,1.0
2022-02-10,0,1.0
2022-02-11,0,1.0
2022-02-12,3,1.0
2022-02-13,0,0.71
2022-02-14,0,0.71
2022-02-15,0,0.71
2022-02-16,2,0.86
2022-02-17,0,0.86
2022-02-18,0,1.0
2022-02-19,4,1.29
2022-02-20,0,1.43
2022-02-21,1,1.86
2022-02-22,2,2.14
2022-02-23,3,2.0
2022-02-24,3,2.0
2022-02-25,2,2.0
2022-02-26,3,1.71
2022-02-27,0,1.29
2022-02-28,1,0.86
2022-03-01,0,0.57
2022-03-02,0,0.71
2022-03-03,0,0.71
2022-03-04,0,0.57
2022-03-05,4,0.57
2022-03-06,0,1.29
2022-03-07,0,1.29
2022-03-08,0,1.29
2022-03-09,5,0.86
2022-03-10,0,0.86
2022-03-11,0,1.0
2022-03-12,1,1.14
2022-03-13,0,0.43
2022-03-14,1,0.43
2022-03-15,1,0.43
2022-03-16,0,0.29
2022-03-17,0,0.29
2022-03-18,0,0.14
2022-03-19,0,0.0
2022-03-20,0,0.0
2022-03-21,0,0.14
2022-03-22,0,0.14
2022-03-23,0,0.43
2022-03-24,1,0.43
2022-03-25,0,0.43
2022-03-26,2,0.43
2022-03-27,0,0.43
2022-03-28,0,0.29
2022-03-29,0,0.29
2022-03-30,0,0.57
2022-03-31,0,0.57
2022-04-01,0,0.57
2022-04-02,4,0.57
2022-04-03,0,0.57
2022-04-04,0,0.57
2022-04-05,0,0.57
2022-04-06,0,0.0
2022-04-07,0,0.0
2022-04-08,0,0.0
2022-04-09,0,0.0
2022-04-10,0,0.0
2022-04-11,0,0.0
2022-04-12,0,0.0
2022-04-13,0,0.0
2022-04-14,0,0.0
2022-04-15,0,0.0
2022-04-16,0,
2022-04-17,0,
2022-04-18,0,
