date,entries,Erstimpfungen 7-Tages-Schnitt
2021-08-10,9961,8603.86
2021-08-11,10663,8838.0
2021-08-12,12645,8848.57
2021-08-13,13207,8892.14
2021-08-14,5806,9054.0
2021-08-15,310,9362.71
2021-08-16,9653,9556.57
2021-08-17,11094,10027.14
2021-08-18,12824,10267.57
2021-08-19,14002,10289.57
2021-08-20,16501,10587.0
2021-08-21,7489,10837.14
2021-08-22,464,11279.71
2021-08-23,11735,11735.86
2021-08-24,12845,12274.14
2021-08-25,15922,12896.86
2021-08-26,17195,13051.0
2021-08-27,20269,13486.0
2021-08-28,11848,13845.86
2021-08-29,1543,14072.0
2021-08-30,14780,14240.57
2021-08-31,15364,14419.71
2021-09-01,17505,14409.0
2021-09-02,18375,14528.57
2021-09-03,21523,14617.57
2021-09-04,11773,14722.71
2021-09-05,2380,15356.57
2021-09-06,15403,16202.71
2021-09-07,16100,17335.43
2021-09-08,21942,18606.29
2021-09-09,24298,18824.57
2021-09-10,29452,19948.86
2021-09-11,20669,21184.86
2021-09-12,3908,22085.57
2021-09-13,23273,22196.86
2021-09-14,24752,21887.14
2021-09-15,28247,21156.43
2021-09-16,25077,21036.57
2021-09-17,27284,20247.14
2021-09-18,15554,19565.0
2021-09-19,3069,18457.14
2021-09-20,17747,17639.43
2021-09-21,19977,16352.0
2021-09-22,20492,15691.0
2021-09-23,19353,15559.14
2021-09-24,18272,14740.71
2021-09-25,10927,13710.0
2021-09-26,2146,12656.57
2021-09-27,12018,11479.29
2021-09-28,12762,10612.57
2021-09-29,13118,10040.0
2021-09-30,11112,9947.43
2021-10-01,12205,9421.0
2021-10-02,6919,8425.0
2021-10-03,1498,
2021-10-04,8333,
2021-10-05,5790,
