date,entries,Erstimpfungen 7-Tages-Schnitt
2022-07-24,0,1.43
2022-07-25,1,1.43
2022-07-26,1,1.43
2022-07-27,3,1.29
2022-07-28,2,1.29
2022-07-29,2,1.14
2022-07-30,0,1.29
2022-07-31,0,1.29
2022-08-01,0,2.43
2022-08-02,2,2.86
2022-08-03,3,3.29
2022-08-04,10,3.29
2022-08-05,5,3.71
2022-08-06,3,4.57
2022-08-07,0,5.0
2022-08-08,3,4.0
2022-08-09,8,3.86
2022-08-10,6,3.43
2022-08-11,3,3.43
2022-08-12,4,3.0
2022-08-13,0,1.86
2022-08-14,0,1.29
2022-08-15,0,1.29
2022-08-16,0,1.29
2022-08-17,2,2.43
2022-08-18,3,2.43
2022-08-19,4,2.71
2022-08-20,8,3.0
2022-08-21,0,2.86
2022-08-22,2,2.57
2022-08-23,2,2.43
2022-08-24,1,1.29
2022-08-25,1,1.29
2022-08-26,3,1.0
2022-08-27,0,1.57
2022-08-28,0,1.86
2022-08-29,0,2.14
2022-08-30,6,1.86
2022-08-31,3,1.86
2022-09-01,3,1.86
2022-09-02,1,1.86
2022-09-03,0,1.29
2022-09-04,0,1.43
2022-09-05,0,1.57
2022-09-06,2,1.43
2022-09-07,4,1.43
2022-09-08,4,1.43
2022-09-09,0,1.43
2022-09-10,0,1.57
2022-09-11,0,1.0
2022-09-12,0,1.14
2022-09-13,3,1.29
2022-09-14,0,1.29
2022-09-15,5,1.29
2022-09-16,1,1.71
2022-09-17,0,1.71
2022-09-18,0,2.0
2022-09-19,3,1.43
2022-09-20,3,1.71
2022-09-21,2,2.29
2022-09-22,1,2.29
2022-09-23,3,2.14
2022-09-24,4,2.14
2022-09-25,0,2.29
2022-09-26,2,2.29
2022-09-27,3,1.86
2022-09-28,3,1.29
2022-09-29,1,1.29
2022-09-30,0,1.14
2022-10-01,0,0.71
2022-10-02,0,0.43
2022-10-03,1,0.57
2022-10-04,0,0.71
2022-10-05,1,0.71
2022-10-06,2,0.71
2022-10-07,1,0.57
2022-10-08,0,1.14
2022-10-09,0,1.43
2022-10-10,0,1.57
2022-10-11,4,1.43
2022-10-12,3,1.43
2022-10-13,3,1.43
2022-10-14,0,
2022-10-15,0,
2022-10-16,0,
