date,entries,Erstimpfungen 7-Tages-Schnitt
2021-08-16,3,31.43
2021-08-17,38,41.71
2021-08-18,129,44.71
2021-08-19,25,44.71
2021-08-20,96,53.0
2021-08-21,22,54.71
2021-08-22,0,58.86
2021-08-23,61,77.86
2021-08-24,50,102.0
2021-08-25,158,103.71
2021-08-26,158,105.43
2021-08-27,265,102.71
2021-08-28,34,119.86
2021-08-29,12,105.0
2021-08-30,42,88.0
2021-08-31,170,85.0
2021-09-01,54,84.43
2021-09-02,39,82.86
2021-09-03,244,80.0
2021-09-04,30,86.71
2021-09-05,1,87.43
2021-09-06,22,93.0
2021-09-07,217,109.86
2021-09-08,59,110.29
2021-09-09,78,110.43
2021-09-10,362,114.43
2021-09-11,33,135.29
2021-09-12,2,141.14
2021-09-13,50,138.29
2021-09-14,363,119.0
2021-09-15,100,117.29
2021-09-16,58,117.43
2021-09-17,227,116.14
2021-09-18,21,99.43
2021-09-19,3,96.43
2021-09-20,41,96.86
2021-09-21,246,76.29
2021-09-22,79,75.29
2021-09-23,61,75.57
2021-09-24,83,72.86
2021-09-25,14,58.14
2021-09-26,5,57.43
2021-09-27,22,54.29
2021-09-28,143,51.57
2021-09-29,74,51.86
2021-09-30,39,51.14
2021-10-01,64,49.29
2021-10-02,16,39.29
2021-10-03,0,31.57
2021-10-04,9,29.71
2021-10-05,73,32.29
2021-10-06,20,32.14
2021-10-07,26,32.14
2021-10-08,82,34.29
2021-10-09,15,30.71
2021-10-10,0,31.43
2021-10-11,24,32.86
2021-10-12,48,32.14
2021-10-13,25,30.29
2021-10-14,36,30.57
2021-10-15,77,28.57
2021-10-16,2,29.43
2021-10-17,2,28.57
2021-10-18,10,25.14
2021-10-19,54,22.71
2021-10-20,19,22.57
2021-10-21,12,22.29
2021-10-22,60,23.43
2021-10-23,1,25.57
2021-10-24,0,27.0
2021-10-25,18,27.14
2021-10-26,69,23.43
2021-10-27,29,24.14
2021-10-28,13,24.57
2021-10-29,34,22.14
2021-10-30,6,17.71
2021-10-31,3,15.57
2021-11-01,1,14.57
2021-11-02,38,15.57
2021-11-03,14,15.0
2021-11-04,6,14.57
2021-11-05,41,18.0
2021-11-06,2,
2021-11-07,0,
2021-11-08,25,
