date,entries,Erstimpfungen 7-Tages-Schnitt
2021-08-15,0,60.14
2021-08-16,6,80.71
2021-08-17,5,55.29
2021-08-18,12,56.57
2021-08-19,210,56.57
2021-08-20,153,56.86
2021-08-21,10,56.86
2021-08-22,0,58.71
2021-08-23,8,51.0
2021-08-24,5,75.71
2021-08-25,25,75.0
2021-08-26,156,83.86
2021-08-27,326,84.71
2021-08-28,5,86.43
2021-08-29,62,84.43
2021-08-30,14,114.57
2021-08-31,17,113.71
2021-09-01,11,113.29
2021-09-02,367,104.43
2021-09-03,320,103.43
2021-09-04,2,128.0
2021-09-05,0,136.86
2021-09-06,7,102.86
2021-09-07,189,70.86
2021-09-08,73,78.43
2021-09-09,129,79.0
2021-09-10,96,80.86
2021-09-11,55,99.71
2021-09-12,4,97.71
2021-09-13,20,83.43
2021-09-14,321,81.29
2021-09-15,59,76.86
2021-09-16,29,76.71
2021-09-17,81,78.57
2021-09-18,24,59.86
2021-09-19,3,55.14
2021-09-20,33,77.14
2021-09-21,190,69.86
2021-09-22,26,67.14
2021-09-23,183,67.14
2021-09-24,30,93.29
2021-09-25,5,88.0
2021-09-26,3,85.57
2021-09-27,216,62.71
2021-09-28,153,60.86
2021-09-29,9,60.57
2021-09-30,23,60.29
2021-10-01,17,30.29
2021-10-02,3,26.86
2021-10-03,1,39.86
2021-10-04,6,45.0
2021-10-05,129,43.86
2021-10-06,100,44.43
2021-10-07,59,44.29
2021-10-08,9,44.29
2021-10-09,7,27.29
2021-10-10,0,13.57
2021-10-11,6,37.14
2021-10-12,10,52.57
2021-10-13,4,52.29
2021-10-14,224,52.43
2021-10-15,117,52.29
2021-10-16,5,52.43
2021-10-17,1,52.14
2021-10-18,5,29.86
2021-10-19,11,14.14
2021-10-20,2,13.43
2021-10-21,68,13.43
2021-10-22,7,13.57
2021-10-23,0,13.43
2021-10-24,1,13.71
2021-10-25,6,4.57
2021-10-26,10,12.14
2021-10-27,4,12.29
2021-10-28,4,12.14
2021-10-29,60,11.71
2021-10-30,1,12.57
2021-10-31,0,12.43
2021-11-01,3,17.43
2021-11-02,16,9.0
2021-11-03,3,8.86
2021-11-04,39,8.86
2021-11-05,1,
2021-11-06,0,
2021-11-07,0,
