date,entries,Erstimpfungen 7-Tages-Schnitt
2022-10-12,10,3.86
2022-10-13,4,3.86
2022-10-14,4,4.29
2022-10-15,3,4.14
2022-10-16,0,3.57
2022-10-17,5,3.86
2022-10-18,3,4.29
2022-10-19,6,4.14
2022-10-20,6,4.14
2022-10-21,7,4.43
2022-10-22,2,4.71
2022-10-23,0,4.29
2022-10-24,7,4.0
2022-10-25,5,4.43
2022-10-26,3,4.43
2022-10-27,4,4.43
2022-10-28,10,4.43
2022-10-29,2,4.14
2022-10-30,0,4.14
2022-10-31,7,4.43
2022-11-01,3,3.0
2022-11-02,3,3.29
2022-11-03,6,3.29
2022-11-04,0,3.14
2022-11-05,4,2.86
2022-11-06,0,3.0
2022-11-07,6,2.29
2022-11-08,1,2.71
2022-11-09,4,2.29
2022-11-10,1,2.29
2022-11-11,3,1.57
2022-11-12,1,1.43
2022-11-13,0,1.0
2022-11-14,1,0.86
2022-11-15,0,0.57
2022-11-16,1,0.86
2022-11-17,0,0.86
2022-11-18,1,1.29
2022-11-19,3,1.29
2022-11-20,0,1.43
2022-11-21,4,1.57
2022-11-22,0,1.71
2022-11-23,2,1.71
2022-11-24,1,1.71
2022-11-25,2,1.43
2022-11-26,3,1.43
2022-11-27,0,1.29
2022-11-28,2,1.29
2022-11-29,0,1.0
2022-11-30,1,1.14
2022-12-01,1,1.14
2022-12-02,0,0.86
2022-12-03,4,1.0
2022-12-04,0,1.0
2022-12-05,0,1.29
2022-12-06,1,1.29
2022-12-07,1,0.86
2022-12-08,3,0.86
2022-12-09,0,1.0
2022-12-10,1,0.86
2022-12-11,0,1.14
2022-12-12,1,0.71
2022-12-13,0,0.71
2022-12-14,3,0.71
2022-12-15,0,0.71
2022-12-16,0,0.57
2022-12-17,1,0.57
2022-12-18,0,1.0
2022-12-19,0,1.14
2022-12-20,0,1.29
2022-12-21,6,1.14
2022-12-22,1,1.14
2022-12-23,1,1.14
2022-12-24,0,1.14
2022-12-25,0,0.29
2022-12-26,0,0.14
2022-12-27,0,0.0
2022-12-28,0,0.0
2022-12-29,0,0.0
2022-12-30,0,0.0
2022-12-31,0,0.29
2023-01-01,0,0.57
2023-01-02,0,
2023-01-03,2,
2023-01-04,2,
