date,entries,Erstimpfungen 7-Tages-Schnitt
2021-08-18,195,162.43
2021-08-19,216,163.71
2021-08-20,277,170.43
2021-08-21,91,186.43
2021-08-22,9,202.71
2021-08-23,236,220.71
2021-08-24,281,230.57
2021-08-25,309,232.86
2021-08-26,342,234.14
2021-08-27,346,243.29
2021-08-28,107,250.29
2021-08-29,18,278.14
2021-08-30,300,275.57
2021-08-31,330,282.57
2021-09-01,504,282.14
2021-09-02,324,281.71
2021-09-03,395,272.86
2021-09-04,104,262.29
2021-09-05,15,254.43
2021-09-06,238,270.0
2021-09-07,256,295.57
2021-09-08,449,355.43
2021-09-09,433,397.57
2021-09-10,574,408.43
2021-09-11,523,431.29
2021-09-12,310,436.86
2021-09-13,314,422.43
2021-09-14,416,398.43
2021-09-15,488,370.0
2021-09-16,332,352.86
2021-09-17,406,338.71
2021-09-18,324,327.29
2021-09-19,190,307.14
2021-09-20,215,308.0
2021-09-21,336,285.57
2021-09-22,347,261.0
2021-09-23,338,242.29
2021-09-24,249,236.0
2021-09-25,152,215.57
2021-09-26,59,193.57
2021-09-27,171,163.43
2021-09-28,193,158.86
2021-09-29,193,140.14
2021-09-30,127,132.57
2021-10-01,217,130.57
2021-10-02,21,114.86
2021-10-03,6,107.86
2021-10-04,157,101.71
2021-10-05,83,92.86
2021-10-06,144,93.86
2021-10-07,84,94.57
2021-10-08,155,105.29
2021-10-09,28,111.57
2021-10-10,11,118.71
2021-10-11,232,120.71
2021-10-12,127,128.29
2021-10-13,194,138.0
2021-10-14,98,142.57
2021-10-15,208,134.14
2021-10-16,96,125.71
2021-10-17,43,115.0
2021-10-18,173,109.57
2021-10-19,68,103.43
2021-10-20,119,98.71
2021-10-21,60,92.86
2021-10-22,165,79.43
2021-10-23,63,81.0
2021-10-24,2,75.86
2021-10-25,79,74.43
2021-10-26,79,68.57
2021-10-27,83,62.71
2021-10-28,50,62.43
2021-10-29,124,55.57
2021-10-30,22,51.0
2021-10-31,0,51.71
2021-11-01,31,53.29
2021-11-02,47,55.57
2021-11-03,88,53.14
2021-11-04,61,53.43
2021-11-05,140,68.14
2021-11-06,5,72.71
2021-11-07,2,79.29
2021-11-08,134,
2021-11-09,79,
2021-11-10,134,
