date,entries,Erstimpfungen 7-Tages-Schnitt
2021-07-29,602,232.29
2021-07-30,176,208.14
2021-07-31,61,180.86
2021-08-01,0,168.43
2021-08-02,75,175.0
2021-08-03,77,161.14
2021-08-04,188,158.57
2021-08-05,648,158.57
2021-08-06,79,183.71
2021-08-07,43,207.57
2021-08-08,0,215.29
2021-08-09,251,203.71
2021-08-10,244,227.0
2021-08-11,242,229.86
2021-08-12,567,229.86
2021-08-13,242,239.0
2021-08-14,63,246.71
2021-08-15,0,260.14
2021-08-16,315,227.29
2021-08-17,298,242.86
2021-08-18,336,272.86
2021-08-19,337,272.86
2021-08-20,351,293.29
2021-08-21,273,321.14
2021-08-22,0,350.14
2021-08-23,458,383.86
2021-08-24,493,407.57
2021-08-25,539,429.29
2021-08-26,573,429.43
2021-08-27,517,455.57
2021-08-28,425,473.71
2021-08-29,1,478.29
2021-08-30,641,482.14
2021-08-31,620,511.43
2021-09-01,571,511.57
2021-09-02,600,512.86
2021-09-03,722,543.57
2021-09-04,426,572.71
2021-09-05,10,613.43
2021-09-06,856,647.86
2021-09-07,824,692.43
2021-09-08,856,720.14
2021-09-09,841,719.71
2021-09-10,1034,738.57
2021-09-11,620,730.0
2021-09-12,7,766.14
2021-09-13,988,785.14
2021-09-14,764,762.29
2021-09-15,1109,730.57
2021-09-16,974,730.29
2021-09-17,874,691.0
2021-09-18,398,677.71
2021-09-19,5,616.43
2021-09-20,713,548.57
2021-09-21,671,
2021-09-22,680,
2021-09-23,499,
