date,entries,Erstimpfungen 7-Tages-Schnitt
2021-12-05,0,7.57
2021-12-06,28,7.71
2021-12-07,1,8.86
2021-12-08,2,9.71
2021-12-09,3,9.71
2021-12-10,28,13.0
2021-12-11,6,17.0
2021-12-12,0,21.43
2021-12-13,51,23.86
2021-12-14,29,23.86
2021-12-15,33,23.0
2021-12-16,20,23.0
2021-12-17,28,18.14
2021-12-18,0,16.0
2021-12-19,0,13.43
2021-12-20,17,12.0
2021-12-21,14,8.29
2021-12-22,15,8.29
2021-12-23,10,8.29
2021-12-24,2,8.14
2021-12-25,0,7.71
2021-12-26,0,8.0
2021-12-27,16,7.71
2021-12-28,11,7.86
2021-12-29,17,7.86
2021-12-30,8,7.86
2021-12-31,3,7.57
2022-01-01,0,6.29
2022-01-02,0,5.86
2022-01-03,14,5.0
2022-01-04,2,6.29
2022-01-05,14,6.43
2022-01-06,2,6.71
2022-01-07,12,8.57
2022-01-08,1,9.0
2022-01-09,2,9.14
2022-01-10,27,12.57
2022-01-11,5,13.29
2022-01-12,15,16.71
2022-01-13,26,16.43
2022-01-14,17,15.43
2022-01-15,25,15.14
2022-01-16,0,13.57
2022-01-17,20,9.86
2022-01-18,3,8.43
2022-01-19,4,4.86
2022-01-20,0,4.86
2022-01-21,7,3.14
2022-01-22,0,5.14
2022-01-23,0,5.14
2022-01-24,8,5.14
2022-01-25,17,4.86
2022-01-26,4,4.86
2022-01-27,0,4.86
2022-01-28,5,4.0
2022-01-29,0,1.57
2022-01-30,0,1.57
2022-01-31,2,1.71
2022-02-01,0,1.57
2022-02-02,4,1.57
2022-02-03,1,1.57
2022-02-04,4,2.0
2022-02-05,0,2.0
2022-02-06,0,2.29
2022-02-07,5,2.57
2022-02-08,0,2.14
2022-02-09,6,2.29
2022-02-10,3,2.29
2022-02-11,1,1.57
2022-02-12,1,1.71
2022-02-13,0,1.57
2022-02-14,0,1.29
2022-02-15,1,1.29
2022-02-16,5,1.14
2022-02-17,1,1.14
2022-02-18,1,1.14
2022-02-19,0,1.29
2022-02-20,0,0.71
2022-02-21,0,0.57
2022-02-22,2,0.43
2022-02-23,1,0.43
2022-02-24,0,0.43
2022-02-25,0,
2022-02-26,0,
2022-02-27,0,
