date,entries,Erstimpfungen 7-Tages-Schnitt
2022-02-21,0,4.0
2022-02-22,5,3.86
2022-02-23,10,4.0
2022-02-24,4,3.43
2022-02-25,1,3.57
2022-02-26,4,2.86
2022-02-27,0,1.86
2022-02-28,1,1.43
2022-03-01,0,1.43
2022-03-02,3,2.0
2022-03-03,1,2.57
2022-03-04,1,2.57
2022-03-05,8,2.57
2022-03-06,4,3.29
2022-03-07,1,3.14
2022-03-08,0,3.29
2022-03-09,8,2.86
2022-03-10,0,2.29
2022-03-11,2,2.43
2022-03-12,5,2.43
2022-03-13,0,2.29
2022-03-14,2,2.29
2022-03-15,0,2.43
2022-03-16,7,2.0
2022-03-17,0,2.0
2022-03-18,3,1.71
2022-03-19,2,1.71
2022-03-20,0,1.43
2022-03-21,0,1.43
2022-03-22,0,1.43
2022-03-23,5,1.14
2022-03-24,0,1.14
2022-03-25,3,1.29
2022-03-26,0,1.29
2022-03-27,0,2.0
2022-03-28,1,2.0
2022-03-29,0,1.86
2022-03-30,10,2.29
2022-03-31,0,2.29
2022-04-01,2,2.14
2022-04-02,3,2.14
2022-04-03,0,2.57
2022-04-04,0,2.57
2022-04-05,0,2.29
2022-04-06,13,2.14
2022-04-07,0,2.14
2022-04-08,0,2.14
2022-04-09,2,2.29
2022-04-10,0,2.43
2022-04-11,0,2.43
2022-04-12,1,2.43
2022-04-13,14,2.14
2022-04-14,0,2.14
2022-04-15,0,2.14
2022-04-16,0,2.0
2022-04-17,0,1.14
2022-04-18,0,1.14
2022-04-19,0,2.0
2022-04-20,8,2.29
2022-04-21,0,2.29
2022-04-22,6,2.29
2022-04-23,2,2.29
2022-04-24,0,3.14
2022-04-25,0,3.14
2022-04-26,0,3.14
2022-04-27,14,3.57
2022-04-28,0,3.57
2022-04-29,6,3.57
2022-04-30,5,3.57
2022-05-01,0,2.71
2022-05-02,0,2.71
2022-05-03,0,2.43
2022-05-04,8,1.71
2022-05-05,0,1.71
2022-05-06,4,1.86
2022-05-07,0,1.86
2022-05-08,0,1.14
2022-05-09,1,1.14
2022-05-10,0,1.29
2022-05-11,3,1.29
2022-05-12,0,1.29
2022-05-13,5,1.14
2022-05-14,0,
2022-05-15,0,
2022-05-16,0,
