Kanton ^aktualisiert^,zweifach Geimpfte,einfach Geimpfte,Bevölkerung
BL ^22.07.2021^,49.63,6.57,289468.0
ZH ^22.07.2021^,49.52,7.58,1539275.0
SH ^22.07.2021^,48.94,6.16,82348.0
TI ^22.07.2021^,48.92,6.73,351491.0
SO ^22.07.2021^,48.76,4.51,275247.0
BS ^22.07.2021^,48.41,7.59,195844.0
BE ^22.07.2021^,47.99,6.45,1039474.0
ZG ^22.07.2021^,47.61,7.23,127642.0
GE ^22.07.2021^,46.63,6.33,504128.0
AG ^22.07.2021^,46.24,4.82,685845.0
CH ^22.07.2021^,46.09,7.14,8606033.0
NE ^22.07.2021^,44.74,10.03,176496.0
GR ^22.07.2021^,44.36,7.38,199021.0
JU ^22.07.2021^,43.85,5.41,73584.0
UR ^22.07.2021^,43.85,3.76,36703.0
VD ^22.07.2021^,43.8,11.42,805098.0
VS ^22.07.2021^,43.62,8.38,345525.0
TG ^22.07.2021^,43.51,4.34,279547.0
LU ^22.07.2021^,42.93,6.58,413120.0
FR ^22.07.2021^,42.59,9.47,321783.0
SZ ^22.07.2021^,42.5,3.94,160480.0
SG ^22.07.2021^,41.56,6.74,510734.0
AR ^22.07.2021^,40.4,6.29,55445.0
GL ^22.07.2021^,39.95,6.67,40590.0
NW ^22.07.2021^,38.83,8.62,43087.0
AI ^22.07.2021^,38.68,3.34,16128.0
OW ^22.07.2021^,28.34,5.95,37930.0
all ^22.07.2021^,,,
neighboring_chfl ^22.07.2021^,,,
unknown ^22.07.2021^,,,
