Land ^aktualisiert^,Impfungen pro 100 Menschen,Impfstoffe
:sc: Seychellen ^25.05.2021^,136.74,"Oxford/AstraZeneca, Sinopharm/Beijing"
:ae: Vereinigte Arabische Emirate ^03.06.2021^,133.0,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sinopharm/Wuhan, Sputnik V"
:sm: San Marino ^01.06.2021^,126.51,"Pfizer/BioNTech, Sputnik V"
:mt: Malta ^03.06.2021^,122.57,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
:il: Israel ^03.06.2021^,122.37,"Moderna, Pfizer/BioNTech"
:bh: Bahrain ^03.06.2021^,105.14,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sputnik V"
:mn: Mongolei ^03.06.2021^,100.83,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sputnik V"
:cl: Chile ^02.06.2021^,99.8,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinovac"
:gb: Vereinigtes Königreich ^02.06.2021^,97.49,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
:hu: Ungarn ^02.06.2021^,92.75,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sputnik V"
:qa: Katar ^03.06.2021^,91.02,"Moderna, Pfizer/BioNTech"
:us: Vereinigte Staaten ^03.06.2021^,89.02,"Johnson&Johnson, Moderna, Pfizer/BioNTech"
:mv: Malediven ^02.06.2021^,88.97,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing"
:uy: Uruguay ^03.06.2021^,85.03,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinovac"
:is: Island ^03.06.2021^,78.92,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
:mc: Monaco ^27.05.2021^,76.52,Pfizer/BioNTech
:cy: Zypern ^03.06.2021^,72.2,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
:rs: Serbien ^03.06.2021^,69.37,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sputnik V"
:sg: Singapur ^31.05.2021^,69.19,"Moderna, Pfizer/BioNTech"
:nr: Nauru ^18.05.2021^,68.23,Oxford/AstraZeneca
:kn: St. Kitts und Nevis ^01.06.2021^,66.57,Oxford/AstraZeneca
:ca: Kanada ^03.06.2021^,66.06,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
:de: Deutschland ^03.06.2021^,63.74,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
:lt: Litauen ^03.06.2021^,63.71,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
:bt: Bhutan ^27.05.2021^,62.56,Oxford/AstraZeneca
:dk: Dänemark ^02.06.2021^,61.42,"Moderna, Pfizer/BioNTech"
:es: Spanien ^02.06.2021^,60.28,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
:be: Belgien ^02.06.2021^,60.27,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
:it: Italien ^03.06.2021^,60.19,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
:at: Österreich ^03.06.2021^,60.17,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
:pt: Portugal ^03.06.2021^,58.7,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
:lu: Luxemburg ^03.06.2021^,58.29,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
:nl: Niederlande ^03.06.2021^,57.98,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
:gr: Griechenland ^03.06.2021^,56.49,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
:fr: Frankreich ^02.06.2021^,56.37,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
:pl: Polen ^03.06.2021^,56.35,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
:fi: Finnland ^03.06.2021^,55.86,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
:ee: Estland ^03.06.2021^,55.81,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
:li: Liechtenstein ^30.05.2021^,55.8,"Moderna, Pfizer/BioNTech"
:ch: Schweiz ^30.05.2021^,55.49,"Moderna, Pfizer/BioNTech"
