,geoRegion,altersklasse_covid19,per100PersonsTotal
114,AG,40 - 49,28.83
321,AI,40 - 49,24.98
528,AR,40 - 49,32.89
735,BE,40 - 49,36.61
942,BL,40 - 49,21.09
1149,BS,40 - 49,33.15
1563,FR,40 - 49,25.48
1770,GE,40 - 49,47.34
1977,GL,40 - 49,35.4
2184,GR,40 - 49,18.68
2391,JU,40 - 49,37.3
2598,LU,40 - 49,31.71
2805,NE,40 - 49,24.33
3012,NW,40 - 49,27.98
3219,SG,40 - 49,24.6
3426,SH,40 - 49,30.39
3633,SO,40 - 49,28.09
3840,SZ,40 - 49,32.71
4047,TG,40 - 49,32.6
4254,TI,40 - 49,22.05
4461,UR,40 - 49,30.18
4668,VD,40 - 49,36.39
4875,ZG,40 - 49,34.75
5082,ZH,40 - 49,26.58
5377,CH,40 - 49,30.69
