,name,date,vl_percentile_mean7d,vl_percentile_mean7d_diff_pp,max_date,vl_percentile_mean7d_diff_pp_show
0,Liechtenstein,2022-11-02,6.1,-9.5,2022-03-07,9.5
1,Buholz (Real),2022-10-30,40.4,6.2,2022-02-26,6.2
2,Rontal,2022-11-01,28.3,-5.2,2022-07-01,5.2
3,Altdorf,2022-10-31,40.6,-32.8,2022-03-02,32.8
4,Wetzikon (Flos),2022-10-28,50.3,16.3,2022-03-21,16.3
5,Hoefe,2022-11-01,23.1,2.3,2022-10-03,2.3
6,Horgen,2022-10-28,28.4,-7.9,2022-10-01,7.9
7,Untermarch,2022-11-01,25.2,-1.6,2022-02-25,1.6
8,Schwyz,2022-11-02,25.7,-16.8,2022-07-11,16.8
9,Alpnach (Sarneraatal),2022-10-31,51.4,7.2,2022-02-10,7.2
10,Engelberg,2022-11-01,15.7,-0.2,2022-07-06,0.2
11,Stans (Rotzwinkel),2022-10-31,48.9,1.9,2022-07-10,1.9
12,Meilen (Rorguet),2022-10-28,43.5,11.7,2022-03-21,11.7
13,Glarnerland,2022-11-02,10.4,-2.5,2022-04-07,2.5
14,Cham (Schoenau),2022-10-31,28.1,-4.9,2022-07-13,4.9
15,Illnau-Effretikon,2022-10-28,37.9,1.0,2022-03-17,1.0
16,Dübendorf (Ika Neugut),2022-10-28,40.0,8.1,2022-07-21,8.1
17,Uster (Jungholz),2022-10-28,37.8,-3.8,2022-07-11,3.8
18,Affoltern am Albis,2022-10-28,24.8,7.7,2022-03-10,7.7
19,Vuippens (Ais),2022-11-02,14.8,-7.1,2022-03-05,7.1
20,Fribourg (Aele),2022-11-04,8.6,-3.3,2022-02-10,3.3
21,Winterthur,2022-10-29,38.0,-2.7,2022-07-15,2.7
22,Dietikon (Limeco),2022-10-28,20.3,-4.9,2022-07-11,4.9
23,Winznau (Zv Olten),2022-11-02,9.4,2.0,2022-03-07,2.0
24,Zuchwil (Soloth.-Emme),2022-11-02,23.0,-0.8,2022-03-07,0.8
25,Grenchen (Buerenamt),2022-11-02,37.4,4.1,2022-03-07,4.1
26,Werdhölzli,2022-11-03,20.9,4.2,2022-03-16,4.2
27,Basel,2022-11-04,7.9,-0.1,2022-03-24,0.1
28,Neuhausen A/Rhf. (Roeti),2022-11-02,18.2,10.1,2022-03-13,10.1
29,Ramsen (Bibertal-Hegau),2022-11-02,5.4,-1.7,2022-07-23,1.7
30,Hallau (Klettgau),2022-11-02,7.0,2.1,2022-03-13,2.1
31,Andelfingen,2022-10-28,20.4,-4.0,2022-10-03,4.0
32,Herisau (Bachwis),2022-11-04,28.2,12.2,2022-03-17,12.2
33,Lyss,2022-11-02,7.3,-16.4,2022-03-10,16.4
34,Appenzell (Boedeli),2022-11-02,9.8,2.9,2022-03-31,2.9
35,St.Gallen (Au),2022-11-03,3.6,-10.0,2022-04-01,10.0
36,St.Gallen (Hofen),,,,2022-03-07,
37,Aarwangen (Zala),2022-11-03,13.9,1.2,2022-02-10,1.2
38,Steinach (Morgental),2022-11-04,4.2,-5.2,2022-03-17,5.2
39,Au (Rosenbergsau),2022-11-02,8.6,-20.0,2022-03-07,20.0
40,Altenrhein,2022-10-30,23.6,-14.8,2022-03-15,14.8
41,Buchs,,,,2022-03-07,
42,Bad Ragaz,2022-11-02,6.5,-4.7,2022-03-05,4.7
43,Flums (Seez),2022-11-02,3.0,-4.8,2022-03-05,4.8
44,Rapperswil-Jona,2022-11-03,12.4,-4.3,2022-03-06,4.3
45,Flawil (Oberglatt),2022-11-04,11.5,-12.4,2022-03-07,12.4
46,Wil,2022-11-04,8.9,-3.0,2022-03-07,3.0
47,Region Bern,2022-11-04,14.5,-1.4,2022-02-10,1.4
48,Poschiavo (Li Geri),2022-11-02,8.0,-16.0,2022-07-02,16.0
49,Schluein (Gruob),2022-11-02,10.4,-2.3,2022-03-31,2.3
50,Worblental,2022-10-31,15.5,-14.4,2022-03-06,14.4
51,Cazis (Waldau),2022-11-02,3.6,-1.8,2022-04-07,1.8
52,Scuol (Sot Ruinas),2022-11-02,3.9,-7.5,2022-07-02,7.5
53,S-chanf (Oberengadin),2022-11-02,12.1,4.0,2022-06-30,4.0
54,Davos (Gadenstatt),2022-11-02,5.8,-0.0,2022-02-26,-0.0
55,Klosters (Gulfia),2022-10-30,91.0,70.1,2022-06-30,70.1
56,Chur,2022-11-03,15.4,-1.1,2022-03-12,1.1
57,Arosa,2022-11-02,3.8,-1.1,2022-04-09,1.1
