date,aktuell betreut
2020-05-01,
2020-05-02,
2020-05-03,
2020-05-04,
2020-05-05,
2020-05-06,
2020-05-07,
2020-05-08,
2020-05-09,
2020-05-10,
2020-05-11,
2020-05-12,
2020-05-13,
2020-05-14,
2020-05-15,
2020-05-16,
2020-05-17,
2020-05-18,
2020-05-19,
2020-05-20,
2020-05-21,
2020-05-22,
2020-05-23,
2020-05-24,
2020-05-25,
2020-05-26,
2020-05-27,
2020-05-28,
2020-05-29,
2020-05-30,
2020-05-31,
2020-06-01,
2020-06-02,
2020-06-03,
2020-06-04,
2020-06-05,
2020-06-06,
2020-06-07,
2020-06-08,
2020-06-09,
2020-06-10,
2020-06-11,
2020-06-12,
2020-06-15,
2020-06-16,
2020-06-17,
2020-06-18,
2020-06-19,
2020-06-22,
2020-06-23,
2020-06-24,
2020-06-25,
2020-06-26,
2020-06-29,
2020-06-30,
2020-07-01,
2020-07-02,
2020-07-03,
2020-07-06,
2020-07-07,
2020-07-08,
2020-07-09,
2020-07-10,
2020-07-13,223.0
2020-07-14,314.0
2020-07-15,357.0
2020-07-16,461.0
2020-07-17,543.0
2020-07-20,977.0
2020-07-21,1073.0
2020-07-22,1149.0
2020-07-23,1292.0
2020-07-24,1626.0
2020-07-27,2130.0
2020-07-28,2513.0
2020-07-29,1907.0
2020-07-30,2064.0
2020-07-31,2224.0
2020-08-01,2224.0
2020-08-02,2224.0
2020-08-03,2096.0
2020-08-04,2045.0
2020-08-05,1833.0
2020-08-06,1740.0
2020-08-07,1687.0
2020-08-08,1687.0
2020-08-09,1687.0
2020-08-10,1517.0
2020-08-11,1377.0
2020-08-12,1219.0
2020-08-13,1123.0
2020-08-14,1112.0
2020-08-15,1112.0
2020-08-16,1112.0
2020-08-17,1285.0
2020-08-18,1305.0
2020-08-19,1203.0
2020-08-20,1041.0
2020-08-21,1063.0
2020-08-22,1063.0
2020-08-23,1063.0
2020-08-24,1152.0
2020-08-25,1103.0
2020-08-26,990.0
2020-08-27,898.0
2020-08-28,927.0
2020-08-29,927.0
2020-08-30,927.0
2020-08-31,903.0
2020-09-01,863.0
2020-09-02,806.0
2020-09-03,700.0
2020-09-04,681.0
2020-09-05,681.0
2020-09-06,681.0
2020-09-07,702.0
2020-09-08,699.0
2020-09-09,642.0
2020-09-10,632.0
2020-09-11,637.0
2020-09-12,637.0
2020-09-13,637.0
2020-09-14,759.0
2020-09-15,768.0
2020-09-16,775.0
2020-09-17,751.0
2020-09-18,799.0
2020-09-19,799.0
2020-09-20,799.0
2020-09-21,1100.0
2020-09-22,1128.0
2020-09-23,1112.0
2020-09-24,1102.0
2020-09-25,1146.0
2020-09-26,1146.0
2020-09-27,1146.0
2020-09-28,1340.0
2020-09-29,1340.0
2020-09-30,1400.0
2020-10-01,1405.0
2020-10-02,1508.0
2020-10-03,1508.0
2020-10-04,1508.0
2020-10-05,1864.0
2020-10-06,1902.0
2020-10-07,1848.0
2020-10-08,1817.0
2020-10-09,1845.0
2020-10-10,1845.0
2020-10-11,1845.0
2020-10-12,2025.0
2020-10-13,2037.0
2020-10-14,1975.0
2020-10-15,1820.0
2020-10-16,1828.0
2020-10-17,1828.0
2020-10-18,1828.0
2020-10-19,1891.0
2020-10-20,1766.0
2020-10-21,1547.0
2020-10-22,1481.0
2020-10-23,1481.0
